Metric,Mar 2015,Mar 2016
Cash from Operating Activity,32,45
  └─ Profit from operations,50,54
  └─ Receivables,48,2
  └─ Inventory,-20,-2
  └─ Payables,-38,-2
  └─ Other WC items,-2,2
  └─ Working capital changes,-11,0
  └─ Direct taxes,-6,-10
Cash from Investing Activity,-5,-19
  └─ Fixed assets purchased,-7.87,-18.48
  └─ Fixed assets sold,0.07,0.02
  └─ Investments purchased,-16.00,-1.86
  └─ Investments sold,16.00,0.00
  └─ Investment income,0.13,0.00
  └─ Other investing items,2.90,1.48
Cash from Financing Activity,-36,-27
  └─ Repayment of borrowings,-14.66,-6.83
  └─ Interest paid fin,-14.22,-11.12
  └─ Dividends paid,-6.93,-9.04
Net Cash Flow,-8,-1
  └─ Free Cash Flow,24,26
  └─ CFO/OP,81%,105%
