Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,213,30,291,201,120,522,328,183,254,-32,295,1024
  └─ Profit from operations,171,172,506,477,441,620,664,905,1117,512,885,1721
  └─ Receivables,-229,-80,-166,-149,-222,-489,339,-247,-188,180,-37,-60
  └─ Inventory,-0,-0,0,-0,0,0,-1,1,0,0,0,0
  └─ Payables,435,-48,-41,-111,-46,451,8,29,-1,25,23,19
  └─ Loans Advances,-223,0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,87,0,0,0,0,0,-651,-515,-602,-710,-563,-643
  └─ Working capital changes,70,-127,-207,-261,-268,-38,-305,-731,-792,-505,-577,-684
  └─ Direct taxes,-29,-15,-8,-16,-52,-60,-31,9,-71,-40,-12,-13
Cash from Investing Activity,-446,-98,-89,-374,-269,-154,-104,-80,-490,-317,-352,-590
  └─ Fixed assets purchased,-320,-223,-233,-311,-240,-151,-108,-85,-360,-305,-366,-532
  └─ Fixed assets sold,17,136,9,8,2,0,12,1,3,1,2,3
  └─ Investments purchased,-21,0,0,0,0,0,0,0,-129,-12,0,-61
  └─ Investments sold,0,0,192,0,0,0,0,0,0,0,4,0
  └─ Interest received,1,4,3,2,0,0,0,0,1,0,1,0
  └─ Redemp n Canc of Shares,1,0,0,0,0,0,0,0,0,0,0,0
  └─ Inter corporate deposits,2,0,0,0,0,0,0,0,0,0,0,0
  └─ Other investing items,-127,-15,-60,-73,-31,-4,-7,3,-5,-1,6,0
Cash from Financing Activity,254,123,-187,147,159,-201,-114,-232,152,335,133,43
  └─ Proceeds from shares,239,0,0,84,0,1,0,2,0,2,912,459
  └─ Proceeds from debentures,0,0,60,0,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,80,14,334,878,885,345,726,631,712,1025,147,579
  └─ Repayment of borrowings,0,178,-175,-605,-324,-133,-487,-386,-111,-94,-193,-183
  └─ Interest paid fin,-65,-68,-105,-210,-167,-217,-200,-196,-219,-408,-461,-445
  └─ Financial liabilities,0,0,0,0,-88,-197,-154,-283,-256,-190,-225,-190
  └─ Other financing items,0,0,-301,0,-147,0,0,0,26,0,-47,-177
Net Cash Flow,21,55,15,-27,10,166,111,-129,-84,-15,76,478
  └─ Free Cash Flow,-90,-57,67,-102,-118,371,231,99,-103,-337,-68,495
  └─ CFO/OP,100%,22%,73%,52%,48%,144%,61%,22%,33%,3%,39%,73%
