Metric,Mar 2024
Cash from Operating Activity,-21
  └─ Profit from operations,4.11
  └─ Receivables,-22.47
  └─ Inventory,-4.48
  └─ Payables,8.27
  └─ Other WC items,-6.05
  └─ Working capital changes,-24.73
  └─ Direct taxes,-0.74
Cash from Investing Activity,-16
  └─ Fixed assets purchased,-17.08
  └─ Interest received,0.68
  └─ Other investing items,0.06
Cash from Financing Activity,43
  └─ Proceeds from borrowings,54
  └─ Interest paid fin,-0
  └─ Financial liabilities,-11
Net Cash Flow,5
  └─ Free Cash Flow,-38
  └─ CFO/OP,-744%
