Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,27,12,31,11,27,5,9,79,9,2,2,5
  └─ Profit from operations,26.69,19.84,22.43,0.74,-0.25,-6.12,21.25,101.18,18.61,17.09,19.59,8.05
  └─ Receivables,13.68,7.38,3.30,8.68,5.86,7.96,-1.07,-9.23,-1.22,-6.33,-15.19,1.46
  └─ Inventory,-3.42,8.43,-2.43,2.04,4.19,0.27,2.43,-3.89,1.24,-2.62,-2.89,-1.16
  └─ Payables,-11.06,-23.38,5.09,-14.45,-1.16,-6.24,-4.13,-2.72,-2.59,2.70,2.85,1.90
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,6.35,0.34,0.14,-0.04,0.03,0.01,0.00
  └─ Other WC items,0.00,0.00,4.14,14.09,18.75,2.61,-9.20,-5.31,-7.26,-7.57,0.58,-4.70
  └─ Working capital changes,-0.79,-7.57,10.10,10.36,27.65,10.94,-11.64,-21.01,-9.86,-13.80,-14.65,-2.50
  └─ Direct taxes,-0.10,-0.33,-1.20,-0.44,-1.10,0.50,-0.81,-0.92,0.20,-1.52,-3.03,-0.31
  └─ Other operating items,0.74,0.00,0.06,0.23,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,37,17,-13,-3,-4,-0,-0,-6,7,-9,-12,-9
  └─ Fixed assets purchased,-6.82,-5.01,-13.39,-3.62,-4.82,-1.10,-1.27,-7.51,-8.19,-9.23,-15.65,-11.13
  └─ Fixed assets sold,34.96,21.43,0.49,0.12,0.73,0.00,0.00,0.00,14.50,0.00,3.32,0.00
  └─ Investments sold,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.03
  └─ Interest received,0.83,0.86,0.15,0.33,0.12,0.99,1.11,1.34,1.04,0.00,0.46,1.69
  └─ Dividends received,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,7.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.26,0.00,0.00
Cash from Financing Activity,-60,-30,-19,-10,-23,3,-12,-63,-22,2,5,4
  └─ Proceeds from shares,0.00,0.00,0.00,33.55,0.00,2.27,0.00,0.00,45.34,25.11,27.20,0.00
  └─ Redemption of debentures,-1.37,-1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,9.91,0.00,74.35,22.07,0.00,9.58,0.00,5.72,4.80,10.76
  └─ Repayment of borrowings,0.00,0.00,-10.90,-35.25,-90.61,-1.45,-4.92,-49.77,-56.78,-21.71,-24.27,0.00
  └─ Interest paid fin,-24.61,-14.80,-18.16,-9.47,-7.17,-19.50,-6.89,-22.99,-10.20,-7.17,-2.44,-3.33
  └─ Other financing items,-33.75,-14.02,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.26
Net Cash Flow,4,-1,-0,-3,-1,9,-3,10,-5,-6,-5,0
  └─ Free Cash Flow,55,28,18,7,23,4,8,72,15,-7,-10,-6
  └─ CFO/OP,97%,60%,143%,-318%,-1462%,-131%,49%,79%,52%,21%,28%,-152%
