Metric,Sep 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,35,-16,-3,-7,3,-16,2,-7,-13,13,43,16
  └─ Profit from operations,-3.97,-8.51,-15.67,-8.57,-16.55,-22.00,-10.55,-4.80,19.25,17.38,13.89,20.05
  └─ Receivables,-0.43,3.29,7.43,-0.27,5.56,1.56,5.38,7.14,-1.02,-5.38,17.97,1.67
  └─ Inventory,55.77,5.75,6.88,3.75,3.00,4.63,1.74,2.38,0.28,2.91,1.51,0.91
  └─ Payables,-16.63,-16.10,-12.52,-1.81,7.52,-1.01,3.32,-13.31,-32.99,-1.02,8.50,-7.04
  └─ Other WC items,0.00,-0.58,11.29,0.23,3.54,1.22,1.82,1.39,1.29,0.12,0.83,0.81
  └─ Working capital changes,38.71,-7.64,13.08,1.91,19.62,6.40,12.27,-2.40,-32.43,-3.37,28.82,-3.66
  └─ Direct taxes,0.10,-0.16,0.09,-0.17,-0.07,-0.18,0.19,0.05,0.11,-0.76,0.21,0.00
  └─ Other operating items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
Cash from Investing Activity,0,8,2,2,0,3,3,2,8,7,2,4
  └─ Fixed assets purchased,-0.66,-0.08,-0.02,-0.14,-0.23,-0.26,-0.33,-0.11,0.00,0.00,0.00,-0.72
  └─ Fixed assets sold,0.01,5.39,2.46,0.53,0.57,2.81,1.26,1.68,0.00,0.00,0.00,9.95
  └─ Capital WIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,-0.23,-1.73,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.92,2.20,0.02,1.69,0.70,0.80,0.25,0.34,0.82,1.16,0.98,0.07
  └─ Other investing items,0.00,0.00,0.00,0.00,-0.56,-0.62,2.17,-0.28,7.25,6.06,2.54,-5.00
Cash from Financing Activity,-15,-4,-6,5,-4,16,-5,4,-10,-16,-49,-19
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.80,0.00,0.00,0.00
  └─ Proceeds from debentures,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,19.79,45.05,4.50,9.40,159.13,10.00,173.25,16.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-50.43,-12.09,-6.26,-3.48,-146.52,-9.73,-195.29,-16.43
  └─ Interest paid fin,-32.35,-16.00,-26.16,-27.70,-8.59,-17.00,-3.20,-1.76,-28.55,-16.53,-32.00,-18.42
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-0.02,-0.10,-0.08,-0.24,-0.05,-0.05,-0.01
  └─ Other financing items,17.73,11.67,20.06,32.72,35.00,0.00,0.00,0.00,-1.80,0.00,0.00,0.00
Net Cash Flow,20,-13,-6,0,-1,3,0,-1,-15,4,-4,2
  └─ Free Cash Flow,34,-11,-0,-6,3,-13,3,-6,-13,13,41,26
  └─ CFO/OP,-568%,125%,15%,63%,-29%,62%,-14%,92%,-89%,96%,289%,135%
