Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-13,56,3,28,-169,-87
  └─ Profit from operations,17,68,50,128,-45,-113
  └─ Receivables,-223,102,-140,12,-126,-117
  └─ Inventory,10,-19,8,-68,-87,-121
  └─ Payables,186,-82,89,-38,100,269
  └─ Working capital changes,-27,1,-43,-95,-113,31
  └─ Direct taxes,-4,-13,-4,-5,-11,-4
Cash from Investing Activity,-20,-10,8,-286,-489,-155
  └─ Fixed assets purchased,-18,-20,-16,-24,-545,-248
  └─ Fixed assets sold,0,0,24,0,0,0
  └─ Capital WIP,0,0,0,-20,-59,-71
  └─ Investments purchased,-0,0,-0,0,0,-0
  └─ Investments sold,0,0,0,3,1,0
  └─ Interest received,1,1,1,3,19,25
  └─ Other investing items,-4,8,-1,-247,95,138
Cash from Financing Activity,46,-17,-16,317,614,224
  └─ Proceeds from shares,0,0,0,400,0,259
  └─ Proceeds from debentures,75,0,0,0,0,0
  └─ Proceeds from borrowings,0,8,10,0,657,72
  └─ Repayment of borrowings,-9,-3,0,-36,0,-67
  └─ Interest paid fin,-14,-15,-19,-17,-42,-53
  └─ Financial liabilities,-5,-7,-6,-6,-2,-1
  └─ Share application money,0,0,0,0,0,-1
  └─ Application money refund,0,0,0,0,1,0
  └─ Other financing items,0,0,0,-25,0,15
Net Cash Flow,13,29,-5,60,-44,-18
  └─ Free Cash Flow,-31,36,10,-16,-773,-405
  └─ CFO/OP,-33%,102%,12%,30%,424%,79%
