Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,346,315,497,512,563,437,685,708,812
  └─ Profit from operations,0,484,601,627,602,871,746,788,1000,1124
  └─ Receivables,0,12,19,-14,10,5,2,-16,-17,3
  └─ Payables,0,20,-69,-29,-10,-7,18,9,10,2
  └─ Loans Advances,0,-1,-0,-0,0,0,0,0,0,0
  └─ Other WC items,0,-23,-7,83,62,-72,-149,88,10,2
  └─ Working capital changes,0,8,-57,40,61,-74,-129,81,3,7
  └─ Direct taxes,0,-146,-228,-170,-151,-234,-180,-184,-295,-320
Cash from Investing Activity,0,-69,62,-66,-340,-298,-134,-511,-305,-95
  └─ Fixed assets purchased,0,-17,-20,-16,-12,-16,-19,-31,-31,-47
  └─ Fixed assets sold,0,0,0,0,1,0,0,1,1,1
  └─ Investments purchased,0,-2982,-1885,-1054,-2040,-2116,-2228,-2455,-4267,-3624
  └─ Investments sold,0,2929,1967,1003,1702,1822,2099,1958,3959,3516
  └─ Interest received,0,0,0,0,0,0,0,0,0,59
  └─ Dividends received,0,0,0,0,0,0,0,3,0,0
  └─ Other investing items,0,0,1,1,9,12,13,14,34,0
Cash from Financing Activity,0,-259,-384,-423,-162,-256,-335,-169,-399,-703
  └─ Proceeds from shares,0,0,0,0,0,0,0,0,11,12
  └─ Interest paid fin,0,0,0,0,0,0,0,-6,-6,-5
  └─ Dividends paid,0,-240,-361,-398,-140,-232,-312,-151,-389,-693
  └─ Financial liabilities,0,-18,-23,-25,-22,-24,-22,-12,-15,-17
Net Cash Flow,0,18,-6,8,10,9,-32,5,5,15
  └─ Free Cash Flow,0,330,295,481,502,547,419,655,678,766
  └─ CFO/OP,0%,89%,79%,95%,90%,86%,75%,83%,78%,102%
