Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-1,7,-9,-102
  └─ Profit from operations,15,20,30,39
  └─ Receivables,-1,-30,-30,-135
  └─ Inventory,-0,0,-1,-3
  └─ Payables,16,32,34,73
  └─ Loans Advances,-4,0,-9,-6
  └─ Other WC items,-26,-13,-28,-64
  └─ Working capital changes,-14,-10,-34,-136
  └─ Direct taxes,-2,-3,-5,-5
Cash from Investing Activity,-4,-17,-10,-48
  └─ Fixed assets purchased,-1.17,-2.29,-4.78,-10.33
  └─ Interest received,1.10,2.32,3.00,4.09
  └─ Investment in group cos,-0.27,-0.53,-0.02,0.00
  └─ Other investing items,-4.16,-16.59,-7.84,-41.49
Cash from Financing Activity,8,11,27,152
  └─ Proceeds from shares,0,0,35,84
  └─ Proceeds from borrowings,13,19,9,97
  └─ Repayment of borrowings,0,-1,-4,0
  └─ Interest paid fin,-5,-7,-12,-18
  └─ Other financing items,0,0,0,-12
Net Cash Flow,3,1,9,2
  └─ Free Cash Flow,-2,5,-14,-112
  └─ CFO/OP,7%,52%,-15%,-256%
