Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,,4,4,-1,5,7,1,9,6,-14,3
  └─ Profit from operations,,2.90,4.20,4.95,6.48,6.17,5.97,6.94,5.77,-29.24,-2.11
  └─ Receivables,,0.00,0.60,-4.98,-2.26,-2.05,-2.15,-1.26,-4.36,17.93,1.32
  └─ Inventory,,-1.13,-1.51,-3.53,-6.54,-0.80,-2.96,-4.90,-4.50,6.83,17.57
  └─ Payables,,2.13,1.21,2.33,7.97,4.25,-0.03,11.78,6.29,-9.65,-12.63
  └─ Other WC items,,0.00,0.00,0.00,0.00,0.00,0.00,-2.78,2.74,0.00,0.04
  └─ Working capital changes,,1.00,0.30,-6.19,-0.83,1.39,-5.13,2.84,0.17,15.11,6.30
  └─ Direct taxes,,0.00,-0.12,0.06,-0.56,-0.32,-0.24,-0.31,-0.05,-0.04,-0.99
  └─ Advance tax,,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,,-1,-1,-7,-7,-1,-0,-2,-2,21,1
  └─ Fixed assets purchased,,-1.48,-1.44,-6.96,-7.25,-1.19,-0.46,-1.45,-1.63,-0.51,0.00
  └─ Fixed assets sold,,0.02,0.00,0.02,0.00,0.00,0.00,0.07,0.13,1.31,0.03
  └─ Investments purchased,,0.00,0.00,0.00,0.00,0.00,0.00,-0.32,-0.04,0.00,0.00
  └─ Interest received,,0.01,0.01,0.03,0.05,0.13,0.06,0.05,0.03,0.02,0.05
  └─ Other investing items,,0.00,0.00,0.04,-0.28,-0.01,0.34,-0.25,-0.18,20.33,1.40
Cash from Financing Activity,,-2,-3,8,3,-6,-0,-8,-5,-7,-5
  └─ Proceeds from shares,,0.00,0.00,9.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,,0.00,0.00,0.00,7.83,1.71,5.63,0.00,2.55,0.00,0.00
  └─ Repayment of borrowings,,0.00,0.00,0.00,-3.23,-4.31,-2.52,-3.56,-3.85,-3.69,-3.00
  └─ Interest paid fin,,-2.26,-2.10,-1.84,-2.27,-3.62,-3.42,-4.24,-3.45,-3.73,-1.88
  └─ Other financing items,,-0.02,-0.63,1.09,0.64,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,,0,0,0,1,-0,0,-0,-1,-0,-0
  └─ Free Cash Flow,,2,3,-8,-2,6,0,8,4,-13,3
  └─ CFO/OP,,129%,104%,-25%,87%,122%,14%,140%,113%,384%,-148%
