Metric,Dec 2014,Dec 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1,28,38,36,48,46,62,35,42,-12,47,41
  └─ Profit from operations,28,37,20,30,45,50,64,53,50,50,55,69
  └─ Receivables,-16,16,-11,14,3,9,10,-4,8,-4,-1,-3
  └─ Payables,-8,-3,22,-20,-4,-2,-9,-7,-2,2,1,-4
  └─ Loans Advances,-3,-1,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,2,-18,11,13,11,-3,3,3,-0,-2,2,3
  └─ Working capital changes,-25,-6,21,7,10,4,5,-8,6,-4,3,-4
  └─ Direct taxes,-3,-4,-4,-1,-7,-9,-7,-10,-14,-58,-11,-24
Cash from Investing Activity,4,6,8,6,14,24,5,15,34,37,16,13
  └─ Fixed assets purchased,-5.21,-2.16,-1.10,-0.12,-0.28,-0.40,-0.56,-0.09,-0.00,-0.02,-0.00,-0.00
  └─ Fixed assets sold,0.36,0.50,1.12,0.76,0.08,0.02,-0.00,-0.00,0.02,0.19,0.05,-0.00
  └─ Investments sold,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.04,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Interest received,3.51,6.02,8.30,3.72,2.89,10.29,7.55,6.93,9.30,19.40,14.41,12.91
  └─ Dividends received,-0.00,-0.00,2.39,4.85,5.42,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Loans to subsidiaries,0.82,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Inter corporate deposits,-0.00,-0.00,-0.12,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Other investing items,4.39,1.54,-2.36,-2.89,5.72,14.55,-1.93,7.87,24.24,17.49,1.06,-0.01
Cash from Financing Activity,0,-1,-1,-1,-0,-1,-2,-1,-0,-232,-70,-50
  └─ Proceeds from borrowings,1.18,0.34,0.44,0.00,0.00,0.00,0.00,0.00,0.00,104.26,0.00,0.00
  └─ Repayment of borrowings,-0.86,-1.02,-1.07,-0.70,-0.08,-0.03,0.00,0.00,0.00,0.00,-18.79,-22.01
  └─ Interest paid fin,-0.20,-0.19,-0.15,-0.04,-0.01,-0.13,0.00,0.00,0.00,-1.77,-6.42,-5.39
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-334.21,-44.56,-22.28
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-1.07,-1.82,-1.07,-0.48,-0.45,-0.25,0.00
Net Cash Flow,5,33,45,42,62,69,65,49,75,-207,-8,4
  └─ Free Cash Flow,-4,26,38,37,48,45,61,35,42,-12,47,41
  └─ CFO/OP,485%,113%,451%,142%,128%,113%,124%,84%,113%,98%,109%,96%
