Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,62,91,106,130,158,165,183,224,271
  └─ Profit from operations,80,108,133,165,205,182,219,272,340
  └─ Receivables,-0,-3,1,1,-3,0,-5,1,-8
  └─ Inventory,-1,0,-1,0,-2,2,-2,0,0
  └─ Payables,1,4,-0,0,-0,7,3,-0,4
  └─ Other WC items,2,-1,-3,-6,-2,-0,2,-9,-13
  └─ Working capital changes,1,1,-3,-5,-7,9,-1,-7,-17
  └─ Direct taxes,-20,-19,-23,-31,-40,-26,-34,-40,-52
Cash from Investing Activity,-98,-90,-31,-130,-123,-110,-141,-182,-174
  └─ Fixed assets purchased,-32,-61,-48,-32,-122,-125,-88,-96,-183
  └─ Fixed assets sold,1,2,10,1,1,0,3,3,3
  └─ Investments purchased,-67,0,0,0,-25,-80,0,-64,-32
  └─ Investments sold,0,10,21,28,0,0,42,0,0
  └─ Interest received,1,1,6,5,12,6,7,3,6
  └─ Dividends received,1,0,0,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,-2,0,-148,0,0
  └─ Other investing items,-2,-41,-20,-131,12,89,42,-29,31
Cash from Financing Activity,-8,-7,-30,-49,-31,-42,-45,-52,-69
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,1.16,3.05,4.10,3.20
  └─ Proceeds from borrowings,5.52,18.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-10.99,-9.47,-9.59,-28.37,-3.83,-0.63,0.00,0.00,0.00
  └─ Interest paid fin,-3.09,-2.90,-3.20,-1.44,-2.02,-0.01,-21.36,-23.92,-30.68
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,-10.21,-10.23,-10.26,-20.54
  └─ Financial liabilities,0.00,-13.60,-16.75,-18.97,-24.72,-32.21,-16.01,-21.97,-21.46
  └─ Other financing items,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-44,-6,46,-49,4,13,-2,-9,27
  └─ Free Cash Flow,32,31,69,98,37,40,99,132,91
  └─ CFO/OP,103%,101%,98%,97%,97%,105%,98%,97%,96%
