Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,723,783,339,653,1408,737,1170
  └─ Profit from operations,596,857,778,942,1214,928,1302
  └─ Receivables,-29,-196,-148,-37,-80,-8,-74
  └─ Inventory,-179,110,-111,-139,-27,47,-173
  └─ Payables,56,130,174,417,442,58,257
  └─ Loans Advances,225,0,0,0,0,0,0
  └─ Other WC items,84,-62,-284,-368,-36,-257,-134
  └─ Working capital changes,156,-18,-369,-127,299,-160,-124
  └─ Direct taxes,-44,-57,-69,-107,-106,-31,-8
  └─ Other operating items,0,0,-1,0,0,0,0
  └─ Exceptional CF items,15,0,0,-55,0,0,0
Cash from Investing Activity,-765,-686,-1530,-1808,-1120,-558,-1649
  └─ Fixed assets purchased,-554,-645,-1054,-1634,-932,-1152,-1962
  └─ Fixed assets sold,0,32,0,1,0,6,0
  └─ Investments purchased,0,0,0,-31,-6,0,-58
  └─ Investments sold,13,0,0,52,0,331,192
  └─ Interest received,28,15,11,35,25,133,84
  └─ Dividends received,0,0,1,0,1,1,1
  └─ Acquisition of companies,-85,0,0,-603,0,0,-0
  └─ Other investing items,-168,-89,-487,371,-207,123,95
Cash from Financing Activity,119,-95,1260,1041,-221,-232,861
  └─ Proceeds from shares,0,0,0,0,0,0,40
  └─ Proceeds from borrowings,672,513,768,3444,770,2463,1123
  └─ Repayment of borrowings,-265,-281,-815,-2083,-508,-2189,-1375
  └─ Interest paid fin,-257,-286,-273,-292,-450,-466,-442
  └─ Financial liabilities,-31,-41,-20,-27,-32,-41,-42
  └─ Other financing items,0,0,1600,0,0,0,1558
Net Cash Flow,77,1,69,-114,67,-53,382
  └─ Free Cash Flow,169,170,-715,-979,476,-409,-791
  └─ CFO/OP,127%,101%,54%,115%,177%,125%,95%
