Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,433,580,1125,1680,2081,2037,2663,2902,3377
  └─ Profit from operations,409,603,1150,1455,2025,2111,2466,2920,3128
  └─ Receivables,10,-24,3,156,-67,34,94,109,1139
  └─ Inventory,0,0,0,0,0,-4,-4,-4,-3
  └─ Payables,11,3,0,-15,46,17,-6,-37,881
  └─ Other WC items,3,-2,-16,62,65,-73,97,-79,-1757
  └─ Working capital changes,24,-22,-13,203,45,-25,180,-10,260
  └─ Direct taxes,0,-1,-13,21,11,-49,17,-8,-10
Cash from Investing Activity,-4624,-230,-6091,-5897,-1517,-2119,-6102,-1780,-2945
  └─ Fixed assets purchased,-4474,-225,-5916,-5496,-1105,-1783,-3228,-764,-3904
  └─ Fixed assets sold,0,1,0,0,0,0,1,3,129
  └─ Investments purchased,-2109,-1136,-260,0,-4619,-301,-292,-1021,0
  └─ Investments sold,1954,1128,268,0,4458,0,0,0,673
  └─ Investment income,0,0,19,13,19,36,54,62,0
  └─ Interest received,0,2,4,15,13,20,45,50,5
  └─ Dividends received,5,0,0,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,-313,0,0,0,0,0
  └─ Other investing items,0,0,-206,-117,-282,-92,-2682,-110,153
Cash from Financing Activity,4358,-357,5214,6415,-1983,-790,3356,-1249,-452
  └─ Proceeds from shares,2250,0,2514,0,1284,0,1073,694,1938
  └─ Proceeds from debentures,1423,685,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,4235,168,3785,9334,5871,3770,7383,4231,7258
  └─ Repayment of borrowings,-3255,-652,-55,-1603,-7099,-2630,-2724,-3476,-30
  └─ Interest paid fin,-110,-217,-382,-610,-1053,-1005,-1332,-1482,-1751
  └─ Dividends paid,0,0,-610,-706,-896,-923,-1024,-1207,-6
  └─ Financial liabilities,0,0,0,0,0,-1,-2,-2,-6434
  └─ Other financing items,-185,-340,-37,0,-89,0,-18,-7,-1428
Net Cash Flow,167,-7,248,2198,-1419,-872,-83,-127,-20
  └─ Free Cash Flow,-4041,356,-4791,-3816,976,254,-564,2141,-398
  └─ CFO/OP,106%,104%,96%,116%,103%,99%,108%,101%,111%
