Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,265,270,279,291,379,446,500,403,456,780,765,756
  └─ Profit from operations,403,421,474,491,571,508,569,654,789,900,931,1135
  └─ Receivables,-35,-66,-31,-68,-59,86,-47,-148,-216,61,126,-133
  └─ Payables,2,-1,6,14,7,11,15,42,9,0,43,-29
  └─ Loans Advances,-6,-8,0,-0,0,6,-2,5,-1,-1,-2,-2
  └─ Operating Deposits,1,1,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,25,54,-15,22,28,-20,91,48,96,64,-20,68
  └─ Working capital changes,-14,-20,-40,-32,-23,84,57,-54,-112,125,147,-96
  └─ Direct taxes,-125,-130,-154,-168,-169,-146,-125,-197,-220,-244,-313,-284
Cash from Investing Activity,-185,2,-19,-179,-64,-77,-300,-97,-59,-326,-387,-267
  └─ Fixed assets purchased,-21,-26,-23,-34,-33,-29,-35,-23,-41,-63,-173,-73
  └─ Fixed assets sold,1,1,0,1,2,1,1,50,2,4,2,6
  └─ Investments purchased,-369,-500,-15,-469,-39,-56,-44,-130,-27,-905,-1022,-987
  └─ Investments sold,250,511,9,320,0,0,0,0,0,656,798,1390
  └─ Interest received,3,3,2,1,1,5,2,3,1,6,6,12
  └─ Dividends received,6,0,0,3,15,8,4,4,3,8,5,5
  └─ Invest in subsidiaries,0,0,0,0,0,0,0,0,-1,-33,-1,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,7,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,-56,0,-251,0,0,0,0,-285
  └─ Other investing items,-55,13,8,-3,47,-7,23,-9,4,1,-2,-336
Cash from Financing Activity,-112,-262,-227,-187,-203,-229,-265,-291,-368,-408,-442,-470
  └─ Proceeds from shares,55,38,0,0,50,23,35,41,0,0,0,0
  └─ Repayment of borrowings,0,0,0,0,-1,-0,-0,0,0,0,0,0
  └─ Interest paid fin,0,0,0,0,-1,-0,-0,0,-6,-4,-4,-22
  └─ Dividends paid,-167,-197,-240,-231,-251,-252,-232,-276,-343,-358,-424,-431
  └─ Financial liabilities,0,0,0,0,0,0,-68,-58,-54,-55,-16,-16
  └─ Share application money,0,0,13,44,0,0,0,2,0,0,0,0
  └─ Application money refund,0,0,0,0,0,0,0,0,36,9,2,0
  └─ Other financing items,0,-102,0,0,0,0,0,0,0,0,0,0
Net Cash Flow,-31,10,33,-75,111,140,-64,15,29,47,-64,18
  └─ Free Cash Flow,245,245,256,258,347,418,466,430,417,721,594,688
  └─ CFO/OP,100%,100%,98%,101%,116%,130%,122%,98%,93%,116%,118%,96%
