Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,339,213,236,154,309,114,473,356,577,207,49
  └─ Profit from operations,469,432,462,465,419,387,456,521,597,528,640
  └─ Receivables,-7,1,-52,-41,18,10,-26,-40,38,-60,-128
  └─ Inventory,-18,-133,-37,-88,-6,-162,102,-22,98,-141,-306
  └─ Payables,-10,18,-11,31,-50,17,14,19,26,7,-23
  └─ Loans Advances,0,0,0,-0,-0,0,0,0,0,0,0
  └─ Operating Deposits,0,-1,0,0,0,0,0,0,0,0,0
  └─ Other WC items,-25,23,8,-51,37,-21,59,10,-21,14,13
  └─ Working capital changes,-60,-92,-92,-149,-1,-156,149,-33,140,-180,-445
  └─ Direct taxes,-70,-128,-134,-162,-110,-117,-132,-132,-160,-141,-147
Cash from Investing Activity,-195,-126,-134,-110,587,-859,-378,-225,-440,-82,153
  └─ Fixed assets purchased,-13,-35,-37,-44,-32,-55,-67,-31,0,0,-154
  └─ Fixed assets sold,0,0,0,0,1,0,0,0,0,0,1
  └─ Investments purchased,-1814,-2036,-2621,-2800,-2824,-2884,-3803,-4609,-4948,-3691,-4623
  └─ Investments sold,1619,1856,2362,2682,3527,2726,3620,4114,4252,3616,4760
  └─ Interest received,12,14,14,7,4,29,38,50,55,38,24
  └─ Dividends received,0,41,47,41,81,0,81,81,31,51,73
  └─ Investment in group cos,0,-20,-16,-19,-43,-24,0,-11,-219,-236,-88
  └─ Other investing items,0,54,117,24,-125,-651,-247,182,389,140,160
Cash from Financing Activity,-64,-75,-57,-75,-86,-86,-87,-97,-112,-128,-129
  └─ Proceeds from borrowings,0,0,0,0,0,0,0,0,0,0,0
  └─ Repayment of borrowings,0,-26,-0,-0,-0,-0,-0,-0,0,-0,-0
  └─ Interest paid fin,-9,-4,-1,-1,-2,-1,-2,-1,-1,-2,-2
  └─ Dividends paid,-29,-38,-46,-61,-68,-84,-84,-92,-107,-122,-122
  └─ Financial liabilities,0,0,0,0,-2,-2,-2,-4,-4,-4,-5
  └─ Other financing items,-25,-8,-9,-13,-14,0,0,0,0,0,0
Net Cash Flow,81,11,44,-30,810,-831,8,35,26,-3,73
  └─ Free Cash Flow,327,178,199,110,277,59,406,325,577,207,-105
  └─ CFO/OP,114%,86%,84%,67%,109%,63%,141%,96%,125%,64%,32%
