Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,5,-13,13,-25,-390,-86
  └─ Profit from operations,2,0,1,9,-17,47
  └─ Receivables,2,0,-1,0,0,-14
  └─ Inventory,1,0,-0,0,0,0
  └─ Payables,3,-1,7,0,0,15
  └─ Loans Advances,-1,-12,7,20,-75,-148
  └─ Operating investments,0,0,0,-53,-294,-49
  └─ Other WC items,0,0,0,0,1,23
  └─ Working capital changes,5,-13,12,-33,-368,-174
  └─ Interest paid,-1,-0,-0,1,-2,-33
  └─ Direct taxes,-0,-0,-0,-2,-4,-12
  └─ Other operating items,0,0,0,0,0,86
Cash from Investing Activity,-2,2,1,0,-1,-23
  └─ Fixed assets purchased,-2.91,-0.23,-0.03,0.00,-0.76,-14.71
  └─ Fixed assets sold,0.00,0.71,0.00,0.00,0.00,0.00
  └─ Investments purchased,-2.46,-0.35,-7.20,0.00,0.00,-8.06
  └─ Investments sold,3.51,2.10,9.80,0.00,0.00,0.00
  └─ Interest received,0.01,0.01,0.09,0.00,0.00,0.00
  └─ Other investing items,0.00,-0.25,-1.55,0.00,0.00,0.00
Cash from Financing Activity,-3,12,-13,25,399,158
  └─ Proceeds from shares,0,0,0,0,357,117
  └─ Proceeds from borrowings,0,12,0,180,674,0
  └─ Repayment of borrowings,-3,0,-13,-155,-699,0
  └─ Dividends paid,-0,0,0,0,-0,0
  └─ Other financing items,-0,-0,0,0,67,41
Net Cash Flow,1,1,1,0,8,49
  └─ Free Cash Flow,3,-13,13,-25,-391,-101
  └─ CFO/OP,298%,-2755%,1019%,-174%,654%,-58%
