Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,157,216,319,89,95,196,222,66,72
  └─ Profit from operations,263,217,193,108,389,267,-24,53,63
  └─ Receivables,-81,30,39,-18,-164,111,-21,-7,-22
  └─ Inventory,22,-51,89,11,-144,-147,239,-7,19
  └─ Payables,26,20,4,-6,40,-11,13,10,16
  └─ Other WC items,-47,18,12,-6,13,10,-1,16,-1
  └─ Working capital changes,-81,17,144,-17,-255,-37,230,13,12
  └─ Direct taxes,-25,-18,-18,-2,-39,-34,17,-0,-3
Cash from Investing Activity,-73,-14,-209,-92,-76,-118,-38,-25,-58
  └─ Fixed assets purchased,-95,-60,-243,-102,-86,-142,-56,-65,-65
  └─ Fixed assets sold,3,5,0,2,2,15,6,6,7
  └─ Investments sold,0,25,24,0,0,0,0,0,0
  └─ Interest received,13,11,10,7,10,9,9,8,7
  └─ Dividends received,23,6,4,0,0,0,1,0,0
  └─ Investment in group cos,0,0,0,0,0,0,0,0,-6
  └─ Other investing items,-17,0,-4,0,-1,0,1,27,-1
Cash from Financing Activity,-74,-207,-109,3,-18,-81,-190,-32,-20
  └─ Proceeds from borrowings,11,0,41,54,128,137,96,180,178
  └─ Repayment of borrowings,0,-125,-89,-11,-91,-128,-203,-146,-129
  └─ Interest paid fin,-59,-56,-46,-34,-49,-58,-66,-65,-67
  └─ Dividends paid,-26,-26,-13,-5,-5,-30,-16,0,0
  └─ Financial liabilities,0,0,-1,-1,-1,-2,-1,-1,-1
Net Cash Flow,11,-4,2,1,1,-2,-7,9,-5
  └─ Free Cash Flow,65,161,76,-10,11,69,172,6,15
  └─ CFO/OP,74%,110%,195%,87%,35%,88%,-553%,154%,142%
