Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-1.27,5.80
  └─ Profit from operations,,9.84,5.39
  └─ Receivables,,-9.40,3.44
  └─ Payables,,1.90,-2.24
  └─ Other WC items,,-2.73,-0.39
  └─ Working capital changes,,-10.22,0.81
  └─ Direct taxes,,-0.88,-0.41
Cash from Investing Activity,,-11.77,-5.67
  └─ Fixed assets purchased,,-11.89,-5.77
  └─ Other investing items,,0.12,0.10
Cash from Financing Activity,,14.02,-1.09
  └─ Proceeds from shares,,0.78,0.00
  └─ Repayment of borrowings,,-2.32,-0.87
  └─ Interest paid fin,,-0.28,-0.22
  └─ Other financing items,,15.84,0.00
Net Cash Flow,,0.98,-0.96
  └─ Free Cash Flow,,-13.16,0.03
  └─ CFO/OP,,-4%,119%
