Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,80,262,44,56,-180,27,13
  └─ Profit from operations,26,68,136,159,228,267,604
  └─ Receivables,-21,43,-148,-90,-120,-312,-382
  └─ Inventory,126,127,-232,-208,2,-69,-237
  └─ Payables,-59,-12,331,244,-310,158,256
  └─ Other WC items,0,27,-21,-7,71,35,-115
  └─ Working capital changes,46,184,-70,-61,-357,-189,-477
  └─ Interest paid,32,0,0,0,0,0,0
  └─ Direct taxes,-25,10,-22,-42,-51,-51,-114
  └─ Exceptional CF items,0,0,0,0,0,0,0
Cash from Investing Activity,-24,3,-89,-122,116,88,-141
  └─ Fixed assets purchased,-2,-3,-7,-7,-19,-26,-136
  └─ Fixed assets sold,0,-0,0,0,12,0,3
  └─ Investments purchased,-0,-0,-86,-0,-0,-0,-0
  └─ Investments sold,-0,3,-0,5,-0,-0,-0
  └─ Investment income,-0,-0,-0,0,0,0,-0
  └─ Interest received,2,2,9,6,10,9,11
  └─ Dividends received,-0,-0,0,3,0,0,0
  └─ Redemp n Canc of Shares,-0,0,-0,-0,-0,-0,-0
  └─ Other investing items,-24,0,-5,-130,112,105,-19
Cash from Financing Activity,-100,-144,20,109,-44,-19,156
  └─ Proceeds from shares,0,0,0,0,0,0,500
  └─ Proceeds from borrowings,0,134,88,819,1748,2270,1244
  └─ Repayment of borrowings,-66,-275,-46,-601,-1753,-2217,-1549
  └─ Interest paid fin,-35,-1,0,-21,-31,-41,-23
  └─ Dividends paid,-1,-0,-1,-4,-1,-18,-18
  └─ Financial liabilities,0,-2,0,-4,-8,-13,-22
  └─ Other financing items,1,0,-21,-80,0,0,24
Net Cash Flow,-44,122,-25,43,-108,96,29
  └─ Free Cash Flow,78,259,37,49,-187,1,-120
  └─ CFO/OP,184%,451%,49%,61%,-58%,32%,22%
