Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-88,71,46,-20,-326
  └─ Profit from operations,13,21,159,293,287
  └─ Receivables,-4,-0,-30,-162,-125
  └─ Inventory,-81,-19,-47,-25,-197
  └─ Payables,1,4,6,-3,27
  └─ Loans Advances,12,0,0,0,0
  └─ Other WC items,-25,76,-5,-49,-242
  └─ Working capital changes,-96,60,-77,-239,-538
  └─ Direct taxes,-5,-10,-36,-74,-75
Cash from Investing Activity,-0,-15,28,16,-20
  └─ Fixed assets purchased,-0,-1,-1,-1,-0
  └─ Investments purchased,-0,0,0,0,0
  └─ Investments sold,0,0,0,0,0
  └─ Interest received,0,3,4,14,38
  └─ Redemp n Canc of Shares,0,0,18,0,0
  └─ Other investing items,-0,-17,7,3,-58
Cash from Financing Activity,91,-11,-44,250,747
  └─ Proceeds from shares,0,0,0,536,742
  └─ Proceeds from debentures,0,0,10,50,0
  └─ Redemption of debentures,0,0,-15,-28,0
  └─ Proceeds from borrowings,91,32,33,41,26
  └─ Repayment of borrowings,0,-40,-69,-343,-20
  └─ Interest paid fin,0,-3,-2,-6,-0
  └─ Financial liabilities,0,-0,-1,-1,-1
  └─ Other financing items,0,0,0,0,0
Net Cash Flow,3,45,30,246,401
  └─ Free Cash Flow,-88,70,46,-21,-326
  └─ CFO/OP,-663%,379%,52%,19%,-89%
