Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,5,77,74,-5,95,-166
  └─ Profit from operations,58,59,73,104,155,221
  └─ Receivables,65,-118,-32,29,-89,-110
  └─ Inventory,-14,92,18,-169,-131,-112
  └─ Payables,-84,85,-3,-46,91,-30
  └─ Other WC items,-17,-37,22,83,76,-128
  └─ Working capital changes,-50,22,5,-103,-54,-379
  └─ Direct taxes,-3,-4,-4,-5,-7,-8
Cash from Investing Activity,1,1,-2,-3,-0,0
  └─ Fixed assets purchased,-0.71,0.00,-1.65,-2.98,-1.66,-1.76
  └─ Fixed assets sold,0.00,1.14,0.00,0.00,0.00,0.61
  └─ Investments purchased,0.00,0.00,-0.55,-0.99,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.54,0.73
  └─ Interest received,0.47,0.43,0.57,0.86,1.08,0.92
  └─ Other investing items,0.95,-0.20,0.00,0.00,0.00,0.00
Cash from Financing Activity,-5,-74,-70,9,-93,403
  └─ Proceeds from shares,-0,-0,-0,-0,7,453
  └─ Proceeds from borrowings,26,-0,1,77,0,39
  └─ Repayment of borrowings,-0,-45,-28,-10,-31,-0
  └─ Interest paid fin,-31,-30,-43,-58,-69,-78
  └─ Financial liabilities,-0,-0,-0,-0,-0,-0
  └─ Other financing items,-0,-0,-0,-0,-0,-11
Net Cash Flow,1,4,2,0,2,237
  └─ Free Cash Flow,4,78,72,-8,93,-168
  └─ CFO/OP,12%,139%,98%,0%,62%,-70%
