Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,6.62,9.27,-7.33,-3.45,1.90,-1.88,0.16,6.14,-25.31
  └─ Profit from operations,1.36,2.33,3.74,4.89,5.09,5.05,3.61,3.79,10.87
  └─ Receivables,-10.76,16.06,-4.99,2.55,-4.23,-1.34,1.52,-15.15,-19.15
  └─ Payables,4.36,-7.12,0.10,-2.44,3.26,0.50,-4.15,15.73,-2.71
  └─ Loans Advances,0.04,-0.19,-2.21,2.23,-0.05,-0.15,-0.05,0.07,0.41
  └─ Other WC items,11.63,-1.82,-3.48,-10.67,-2.17,-5.94,-0.31,2.14,-14.14
  └─ Working capital changes,5.26,6.94,-10.58,-8.34,-3.19,-6.93,-3.00,2.79,-35.59
  └─ Direct taxes,0.00,0.00,-0.48,0.00,0.00,0.00,-0.45,-0.44,-0.58
Cash from Investing Activity,-6.27,-8.12,-12.23,-12.27,-14.14,-18.02,-21.77,-14.54,-19.88
  └─ Fixed assets purchased,-0.10,-0.48,-0.84,-0.68,-14.14,-18.31,-21.99,-12.73,-20.72
  └─ Fixed assets sold,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
  └─ Capital WIP,-1.83,-7.64,-11.39,-11.60,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.00,0.00,0.00,0.29,0.34,0.62,0.58
  └─ Other investing items,-5.69,0.00,0.00,0.00,0.00,0.00,-0.12,-2.43,0.22
Cash from Financing Activity,-0.34,4.16,14.04,15.82,12.27,19.85,21.83,8.18,47.78
  └─ Proceeds from shares,0,30,0,10,0,24,0,0,97
  └─ Proceeds from borrowings,0,0,15,8,14,0,24,10,0
  └─ Repayment of borrowings,0,0,0,0,0,-3,0,0,-48
  └─ Interest paid fin,-0,-1,-1,-2,-2,-2,-2,-2,-1
  └─ Other financing items,0,-25,1,0,0,0,0,-0,0
Net Cash Flow,0.02,5.31,-5.51,0.10,0.03,-0.05,0.22,-0.21,2.59
  └─ Free Cash Flow,6.04,1.15,-19.56,-15.73,-12.24,-20.19,-21.83,-6.59,-45.99
  └─ CFO/OP,483%,394%,-251%,-69%,35%,-37%,16%,164%,-248%
