Metric,Mar 2023,Mar 2024,Mar 2022
Cash from Operating Activity,35,-9,
  └─ Profit from operations,35.68,42.10,21.57
  └─ Receivables,3.18,-9.48,-68.83
  └─ Inventory,-17.06,-14.90,-75.75
  └─ Payables,20.25,-13.66,88.20
  └─ Other WC items,1.04,-2.55,-2.23
  └─ Working capital changes,7.41,-40.58,-58.60
  └─ Direct taxes,-7.90,-10.06,-4.18
Cash from Investing Activity,-4,-0,
  └─ Fixed assets purchased,-0.87,-0.95,-3.79
  └─ Investments purchased,-3.50,0.00,0.00
  └─ Investments sold,0.00,0.72,0.00
Cash from Financing Activity,-29,-0,
  └─ Proceeds from borrowings,0.00,42.31,66.62
  └─ Repayment of borrowings,-25.19,-40.26,0.00
  └─ Interest paid fin,-3.81,-2.47,-4.49
Net Cash Flow,2,-9,
  └─ Free Cash Flow,34,-9,
  └─ CFO/OP,127%,4%,
