Metric,Mar 2011,Jun 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-15,5,27,4,-7,1,-4,-35,2
  └─ Profit from operations,11.45,10.58,12.29,2.99,-47.45,-17.46,1.32,26.95,42.36
  └─ Receivables,-32.41,22.59,-37.90,63.80,-2.13,31.81,-5.18,-53.65,-39.05
  └─ Inventory,-13.11,-19.05,-5.23,-1.97,49.38,0.39,-0.62,-14.14,-43.06
  └─ Payables,19.27,-7.96,57.98,-60.59,-6.39,-12.77,0.00,0.00,0.00
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,-1.12,-0.24,-12.99,-4.96
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,0.00,0.53,20.90,45.13
  └─ Working capital changes,-26.25,-4.42,14.85,1.25,40.87,18.31,-5.51,-59.88,-41.94
  └─ Direct taxes,-0.31,-1.13,0.00,0.00,0.00,0.00,0.00,-2.09,1.20
Cash from Investing Activity,-0,-2,-25,-1,1,-0,-0,-38,12
  └─ Fixed assets purchased,-0.42,-1.44,3.02,-0.50,0.00,0.00,-0.12,-1.92,-1.65
  └─ Capital WIP,0.00,0.00,0.00,-0.12,-0.02,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,-0.09,-27.63,0.00,0.00,0.00,0.00,-110.61,-9.50
  └─ Investments sold,0.01,0.00,0.00,0.00,1.20,0.00,0.00,74.67,23.20
  └─ Interest received,0.14,0.00,0.02,0.28,0.11,0.00,0.00,0.25,0.05
  └─ Other investing items,0.00,0.00,0.00,-0.22,0.04,-0.01,0.00,0.00,0.00
Cash from Financing Activity,10,-5,-3,-4,5,-2,4,74,-4
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,10.58,80.25,0.00
  └─ Proceeds from borrowings,15.28,2.29,3.89,5.31,12.03,0.00,0.00,0.00,0.60
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-2.14,-1.91,-6.10,-6.42,-2.50
  └─ Interest paid fin,-3.89,-7.16,-6.80,-9.30,-4.65,0.00,0.00,-0.15,-1.21
  └─ Dividends paid,-1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.86
  └─ Other financing items,0.00,0.00,-0.39,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-5,-1,-1,-0,-0,-1,0,1,10
  └─ Free Cash Flow,-16,4,30,4,-7,1,-4,-37,-0
  └─ CFO/OP,-118%,54%,212%,159%,14%,-4%,-359%,-131%,1%
