Metric,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2012,Mar 2013
Cash from Operating Activity,,7.35,-3.27,8.23,-5.49,-0.05,-6.13,8.43,-9.44,7.27,-2.20,,,
  └─ Profit from operations,,-1.41,3.76,-3.32,4.22,-6.24,0.76,4.90,-9.93,-1.26,0.20,,5.24,5.22
  └─ Receivables,,11.36,-1.11,1.38,-3.10,1.52,0.05,3.30,0.34,-4.04,2.94,,10.24,0.42
  └─ Inventory,,10.25,-13.28,-4.34,3.80,12.40,-1.05,-0.97,2.98,5.54,-2.15,,4.48,0.46
  └─ Payables,,-13.03,0.93,-0.90,1.48,3.16,-6.31,0.36,-2.77,4.85,-3.06,,-10.13,0.30
  └─ Loans Advances,,0.00,0.03,0.00,0.00,-0.01,0.02,0.04,0.01,-0.03,0.03,,0.00,0.00
  └─ Operating borrowings,,0.00,7.94,17.21,-14.30,-7.03,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
  └─ Other WC items,,0.00,-2.07,-1.81,2.51,-3.75,0.21,0.72,-0.07,2.35,-0.16,,0.00,0.00
  └─ Working capital changes,,8.59,-7.57,11.54,-9.60,6.29,-7.08,3.44,0.49,8.67,-2.41,,4.59,1.18
  └─ Direct taxes,,0.17,0.54,0.01,-0.11,-0.09,0.19,0.09,-0.01,-0.14,0.00,,-0.93,0.23
Cash from Investing Activity,,-10.22,6.78,-2.25,0.28,-3.84,-0.93,-2.35,0.04,0.34,0.91,,,
  └─ Fixed assets purchased,,-3.43,-3.03,-2.57,-0.46,-4.67,-0.97,-2.91,-0.02,-0.93,-0.57,,-4.59,-1.90
  └─ Fixed assets sold,,1.59,0.28,0.57,0.73,0.75,0.00,0.46,0.00,0.00,0.05,,0.49,0.18
  └─ Investments purchased,,-8.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
  └─ Investments sold,,0.00,9.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,0.00
  └─ Interest received,,0.17,0.15,0.10,0.13,0.13,0.13,0.12,0.07,1.31,1.43,,0.21,0.13
  └─ Dividends received,,0.10,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0.02,,0.00,0.01
  └─ Other investing items,,0.00,0.01,-0.36,-0.13,-0.06,-0.09,-0.01,-0.02,-0.06,-0.03,,0.00,0.00
Cash from Financing Activity,,-3.01,-3.37,-0.86,-0.90,3.71,7.18,-5.83,9.03,-7.62,1.30,,,
  └─ Proceeds from borrowings,,0.00,0.00,0.00,0.00,4.71,8.68,2.71,10.36,0.65,3.80,,0.00,0.00
  └─ Repayment of borrowings,,-2.34,0.00,0.00,0.00,0.00,0.00,-6.78,0.00,-5.34,0.00,,-1.16,-1.66
  └─ Interest paid fin,,-0.66,-0.53,-0.86,-0.90,-1.00,-1.50,-1.77,-1.34,-2.93,-2.50,,-4.39,-4.65
  └─ Dividends paid,,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-0.78,-0.02
  └─ Other financing items,,0.00,-2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
Net Cash Flow,,-5.88,0.13,5.12,-6.12,-0.19,0.12,0.25,-0.37,-0.01,0.00,,,
  └─ Free Cash Flow,,5.51,-6.02,6.23,-5.22,-3.97,-7.10,5.98,-9.46,6.34,-2.72,,,
  └─ CFO/OP,,-1330%,-108%,-258%,-186%,-1%,-1129%,180%,93%,-221%,156%,,,
