Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.01,-2.18,-1.56,0.63,-5.34,-0.14
  └─ Profit from operations,0.12,-0.09,0.44,0.02,-5.19,-0.04
  └─ Receivables,0.00,-0.69,-1.24,-0.07,0.00,43.34
  └─ Inventory,0.00,-0.43,-0.57,0.00,0.00,-43.48
  └─ Payables,-0.09,0.43,0.79,0.68,0.00,0.00
  └─ Other WC items,-0.02,-1.44,-1.07,0.00,-0.15,0.01
  └─ Working capital changes,-0.10,-2.13,-2.08,0.61,-0.15,-0.13
  └─ Direct taxes,0.00,0.04,0.09,0.00,0.00,0.03
Cash from Investing Activity,0.24,-0.16,0.29,-945.43,-2494.71,0.11
  └─ Investments purchased,0.00,-0.14,-0.01,-945.43,-2149.93,0.00
  └─ Investments sold,0.24,0.00,0.00,0.00,0.00,0.01
  └─ Interest received,0.00,0.34,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,-0.36,0.30,0.00,-344.78,0.10
Cash from Financing Activity,0.96,2.45,1.12,944.87,2500.00,-0.00
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,850.00,0.00
  └─ Proceeds from borrowings,0.96,3.34,1.39,1000.12,1650.00,0.00
  └─ Repayment of borrowings,0.00,-0.87,-0.19,-55.25,0.00,0.00
  └─ Interest paid fin,0.00,-0.02,-0.09,0.00,0.00,0.00
Net Cash Flow,1.21,0.11,-0.15,0.07,-0.04,-0.03
  └─ Free Cash Flow,0.01,-2.18,-1.56,0.63,-5.34,-0.14
  └─ CFO/OP,,11100%,-393%,6300%,107%,-567%
