Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,37,91,131,118,105,-30,107,-108,-422,-0,-27,17
  └─ Profit from operations,68.04,129.82,82.39,100.48,-24.35,75.70,85.85,-5.61,-83.06,-7.28,-17.82,9.16
  └─ Receivables,-4.83,-41.29,-18.44,4.46,34.74,20.11,-16.86,-46.34,6.89,2.96,-15.84,1.28
  └─ Inventory,35.24,4.99,-9.16,-18.83,84.76,-66.26,-26.45,-38.58,10.63,24.16,-35.74,10.73
  └─ Payables,-30.37,-21.00,62.87,31.27,7.51,-49.69,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Loans Advances,-10.45,-9.78,-7.08,-24.83,16.32,-2.04,-26.50,11.78,-30.79,-27.96,-50.00,20.88
  └─ Other WC items,-14.75,8.82,15.13,29.37,-16.01,0.38,91.71,374.00,-323.65,10.54,93.00,-18.92
  └─ Working capital changes,-25.16,-58.26,43.32,21.45,127.32,-97.50,21.91,300.86,-336.91,9.69,-8.58,13.97
  └─ Direct taxes,-5.65,19.13,4.95,-3.91,1.83,-8.67,-1.00,-403.70,-2.48,-2.51,-0.97,-6.45
Cash from Investing Activity,-37,16,-26,55,-6,-35,-48,1283,430,10,65,-40
  └─ Fixed assets purchased,-8,-11,-24,-15,-5,-7,-22,-13,-41,-78,-50,-54
  └─ Fixed assets sold,0,6,0,0,0,16,4,2,40,7,1,0
  └─ Investments purchased,-5,-2,-0,-2,-1,-7,0,-5,-212,-302,-152,-239
  └─ Investments sold,0,4,2,2,2,0,0,0,205,278,191,233
  └─ Investment income,0,0,0,0,0,0,0,0,0,0,0,1
  └─ Interest received,3,2,2,0,1,5,3,3,12,8,8,4
  └─ Dividends received,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,80,0,0,6,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,-8,0,0,0,0,0,0,0,0
  └─ Inter corporate deposits,0,0,0,0,0,0,0,0,1083,142,130,0
  └─ Other investing items,-28,19,-6,-2,-3,-42,-39,1295,-656,-46,-63,15
Cash from Financing Activity,-1,-117,-107,-164,-101,91,-47,-1176,-18,-3,-3,-1
  └─ Proceeds from borrowings,92.39,46.57,63.32,9.80,0.00,743.00,101.20,0.30,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-68.32,-121.83,-70.98,-64.65,-34.75,-639.21,-48.92,-786.36,-14.77,-0.24,0.00,0.00
  └─ Interest paid fin,-24.29,-75.90,-99.30,-109.50,-66.39,-45.03,-99.40,-389.79,-3.60,-2.57,-2.66,-4.42
  └─ Share application money,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,-0.58,33.78,0.00,0.00,0.00,31.97,0.00,0.00,0.00,0.00,0.00,3.37
Net Cash Flow,-1,-10,-2,9,-2,26,12,-2,-10,7,35,-25
  └─ Free Cash Flow,30,85,107,103,100,-21,89,-119,-424,-71,-77,-37
  └─ CFO/OP,96%,64%,320%,146%,-77%,-36%,141%,-2235%,429%,-12%,108%,-496%
