Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,10,14,22,49,68,236,409,-263,-310,6,-182
  └─ Profit from operations,11,13,24,40,51,81,272,452,627,511,624
  └─ Receivables,-3,3,-4,7,4,6,-6,-28,24,-20,-3
  └─ Inventory,-1,-2,-4,-8,4,-48,45,-2,-74,-77,0
  └─ Payables,9,5,14,15,30,237,334,-306,10,54,166
  └─ Loans Advances,-10,0,0,-0,0,0,0,0,-187,-190,-167
  └─ Operating investments,0,0,0,0,0,0,-18,6,2,4,0
  └─ Other WC items,7,-0,1,3,-12,-28,-156,-274,-573,-168,-680
  └─ Working capital changes,2,6,7,17,26,167,199,-602,-798,-396,-685
  └─ Direct taxes,-3,-4,-8,-8,-10,-12,-62,-113,-139,-109,-122
Cash from Investing Activity,-2,-20,-43,-79,-68,-146,-74,79,-49,-192,106
  └─ Fixed assets purchased,-2,-2,-3,-4,-3,-9,-15,-21,-19,-14,-5
  └─ Fixed assets sold,0,0,2,2,0,0,6,0,1,13,1
  └─ Capital WIP,0,0,0,0,0,0,-10,10,0,0,0
  └─ Investments purchased,0,0,-14,-25,-532,-673,-1221,-593,-358,-899,-937
  └─ Investments sold,0,0,0,31,537,665,1258,595,319,714,1070
  └─ Interest received,0,4,5,10,15,32,25,57,3,4,7
  └─ Dividends received,0,0,0,0,2,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,1,2,0,0,0
  └─ Other investing items,0,-21,-33,-93,-87,-162,-118,30,4,-9,-30
Cash from Financing Activity,3,7,20,56,18,-33,13,174,376,274,54
  └─ Proceeds from shares,1,0,38,0,0,0,0,45,296,273,4
  └─ Proceeds from borrowings,2,10,1,66,38,0,51,4,195,100,185
  └─ Repayment of borrowings,0,-0,-0,0,0,-7,0,0,0,0,0
  └─ Interest paid fin,0,-3,-5,-10,-16,-21,-23,-43,-72,-68,-101
  └─ Dividends paid,0,0,0,0,-3,-5,-14,-19,-41,-28,-30
  └─ Financial liabilities,0,0,0,0,0,0,-1,-2,-2,-2,-4
  └─ Other financing items,0,0,-14,0,-1,0,0,190,1,0,0
Net Cash Flow,11,2,0,26,18,56,347,-10,16,88,-22
  └─ Free Cash Flow,8,12,22,47,65,227,391,-275,-328,4,-186
  └─ CFO/OP,94%,109%,108%,112%,106%,188%,155%,-30%,-26%,22%,-11%
