Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.53,-6.22,-2.25,-0.37,
  └─ Profit from operations,1.83,1.90,-2.18,0.64,
  └─ Receivables,-2.11,-4.90,-0.89,-0.36,
  └─ Inventory,0.00,-0.23,0.23,0.00,
  └─ Payables,0.22,0.11,-0.06,-0.21,
  └─ Loans Advances,0.00,0.00,0.00,-0.33,
  └─ Other WC items,0.46,-2.35,0.71,-0.11,
  └─ Working capital changes,-1.43,-7.37,-0.01,-1.01,
  └─ Direct taxes,0.13,0.00,0.00,0.00,
  └─ Advance tax,0.00,-0.75,-0.06,0.00,
Cash from Investing Activity,-0.85,-4.82,0.72,-1.27,
  └─ Fixed assets purchased,-0.85,-2.58,-0.34,-1.41,
  └─ Interest received,0.00,0.04,0.07,0.10,
  └─ Other investing items,0.00,-2.28,0.98,0.05,
Cash from Financing Activity,0.44,11.03,1.47,1.62,
  └─ Proceeds from shares,0.02,10.79,0.00,0.00,
  └─ Proceeds from borrowings,0.44,1.25,1.62,2.09,
  └─ Interest paid fin,-0.02,-0.14,-0.16,-0.47,
  └─ Other financing items,0.00,-0.87,0.00,0.00,
Net Cash Flow,0.12,-0.01,-0.07,-0.01,
  └─ Free Cash Flow,-0.32,-8.80,-2.59,-1.78,
  └─ CFO/OP,21%,-275%,96%,-52%,
