Metric,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Cash from Operating Activity,94,123,-8,4,-4,9,61,2,4,-4,-3,1
  └─ Profit from operations,-18.29,-2.38,21.08,25.27,39.90,-16.42,6.88,5.96,5.64,1.95,-0.24,4.17
  └─ Receivables,-113.58,258.53,-50.31,0.79,250.37,-50.22,-57.15,16.18,-0.58,-6.78,-2.04,-23.16
  └─ Inventory,-0.35,-1.72,-0.81,2.84,0.83,0.86,0.54,0.18,-1.20,1.74,0.03,0.00
  └─ Payables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,19.61
  └─ Loans Advances,93.01,-15.94,-2.60,-3.17,-96.26,57.31,-7.78,-3.14,-3.53,0.00,-0.01,0.02
  └─ Other WC items,133.09,-115.66,25.13,-22.17,-198.65,17.70,118.49,-17.08,3.66,-0.98,-1.25,0.72
  └─ Working capital changes,112.17,125.21,-28.59,-21.71,-43.71,25.65,54.09,-3.86,-1.66,-6.01,-2.29,-2.80
Cash from Investing Activity,-56,-24,5,-1,4,43,10,0,0,1,-0,-10
  └─ Fixed assets purchased,-1.38,-2.02,-1.89,-0.84,-0.33,0.00,-0.02,0.00,-0.01,0.00,-0.28,-1.74
  └─ Fixed assets sold,0.00,0.04,0.00,0.00,3.37,0.17,2.75,0.00,0.00,0.00,4.00,0.00
  └─ Capital WIP,2.15,-0.15,0.00,0.00,0.00,0.00,1.39,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,-8.49
  └─ Interest received,0.17,0.03,0.26,0.01,0.15,0.19,0.28,0.24,0.13,0.59,0.78,0.00
  └─ Loans to subsidiaries,-5.25,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-51.96,-22.15,6.39,0.00,0.44,42.31,5.92,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,-44,-117,4,-2,0,-52,-69,-0,0,-2,0,8
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.70,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,50.63,52.89,0.60,0.00,52.37,52.39,0.00,0.18,8.57
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,0.00,0.00,-16.49,0.00,0.00,-29.95,0.00,0.00
  └─ Interest paid fin,-50.47,-70.05,-53.64,-51.87,-52.39,-52.43,-52.40,-52.40,-52.38,0.00,-0.01,-0.08
  └─ Dividends paid,0.00,-1.85,-0.92,-0.60,-0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,6.36,-45.05,58.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-6,-18,1,1,-0,0,2,2,4,-6,-3,-0
  └─ Free Cash Flow,95,121,-9,3,-1,9,65,2,4,-4,1,-0
  └─ CFO/OP,-115%,-256%,-61%,35%,-27%,-56%,866%,35%,70%,-207%,869%,29%
