Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-8,16,112,-21
  └─ Profit from operations,65,44,34,47
  └─ Receivables,-60,4,47,-33
  └─ Inventory,-20,27,25,-28
  └─ Payables,21,-59,9,-0
  └─ Loans Advances,-1,7,-1,-2
  └─ Working capital changes,-61,-22,80,-62
  └─ Direct taxes,-12,-6,-1,-6
Cash from Investing Activity,-22,-32,-38,12
  └─ Fixed assets purchased,-27.65,-38.81,-27.60,-2.71
  └─ Fixed assets sold,2.50,5.92,0.13,0.45
  └─ Investments purchased,0.00,0.00,-1.43,0.00
  └─ Investments sold,2.38,0.25,0.00,1.74
  └─ Interest received,0.80,0.29,0.29,1.54
  └─ Dividends received,0.12,0.24,0.24,0.31
  └─ Inter corporate deposits,0.00,0.00,0.00,10.18
  └─ Other investing items,-0.25,0.44,-9.67,0.00
Cash from Financing Activity,30,15,-74,9
  └─ Proceeds from borrowings,55,41,18,59
  └─ Repayment of borrowings,-9,-5,-74,-40
  └─ Interest paid fin,-11,-13,-12,-9
  └─ Dividends paid,-4,-8,-5,0
  └─ Financial liabilities,-0,-0,-0,-0
Net Cash Flow,0,-1,1,-0
  └─ Free Cash Flow,-33,-17,85,-23
  └─ CFO/OP,6%,53%,348%,-32%
