Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-5,24,-5
  └─ Profit from operations,10,57,93
  └─ Receivables,-14,-64,-128
  └─ Inventory,0,-47,-6
  └─ Payables,-1,80,52
  └─ Working capital changes,-14,-30,-82
  └─ Interest paid,-0,-1,-3
  └─ Direct taxes,-1,-2,-13
Cash from Investing Activity,-13,-14,-45
  └─ Fixed assets purchased,-13.70,0.00,-45.86
  └─ Investments purchased,0.00,-14.99,0.00
  └─ Interest received,0.28,1.22,0.50
  └─ Other investing items,0.00,0.01,0.00
Cash from Financing Activity,35,-1,55
  └─ Proceeds from shares,27.30,0.05,18.18
  └─ Proceeds from borrowings,7.29,0.00,36.72
  └─ Repayment of borrowings,0.00,-1.08,0.00
  └─ Dividends paid,0.00,0.00,-0.20
Net Cash Flow,16,10,4
  └─ Free Cash Flow,-19,24,-51
  └─ CFO/OP,-45%,46%,9%
