Metric,Mar 2025,Mar 2026
Cash from Operating Activity,-45,-29
  └─ Profit from operations,16,37
  └─ Receivables,-24,-8
  └─ Inventory,-6,-42
  └─ Payables,-2,4
  └─ Loans Advances,-9,-23
  └─ Operating investments,-26,4
  └─ Other WC items,8,2
  └─ Working capital changes,-59,-63
  └─ Direct taxes,-1,-3
Cash from Investing Activity,-3,-30
  └─ Fixed assets purchased,-3.49,-16.41
  └─ Capital WIP,0.00,-13.26
Cash from Financing Activity,49,84
  └─ Proceeds from shares,47,0
  └─ Proceeds from borrowings,4,76
  └─ Interest paid fin,-1,-3
  └─ Other financing items,0,11
Net Cash Flow,1,25
  └─ Free Cash Flow,-48,-59
  └─ CFO/OP,-312%,-73%
