Metric,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,5,-5,-13
  └─ Profit from operations,7.87,10.27,17.74
  └─ Receivables,-8.69,-17.24,-18.08
  └─ Inventory,-5.30,-11.54,-2.09
  └─ Payables,14.42,17.29,-5.84
  └─ Loans Advances,-2.54,-0.66,-1.03
  └─ Other WC items,0.71,-1.06,0.32
  └─ Working capital changes,-1.40,-13.22,-26.72
  └─ Direct taxes,-1.32,-1.83,-4.03
Cash from Investing Activity,-5,-0,26
  └─ Fixed assets purchased,-2.58,-5.57,-5.33
  └─ Capital WIP,-2.66,0.00,0.00
  └─ Issue of shares on acq,0.00,0.00,34.95
  └─ Other investing items,0.00,5.30,-3.62
Cash from Financing Activity,1,5,-4
  └─ Proceeds from borrowings,3.33,8.51,0.20
  └─ Repayment of borrowings,0.00,-1.21,-1.67
  └─ Interest paid fin,-2.11,-2.31,-3.00
  └─ Other financing items,0.02,0.00,0.00
Net Cash Flow,1,-0,9
  └─ Free Cash Flow,-0,-10,-18
  └─ CFO/OP,93%,-32%,-53%
