Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.98,-1.15,-0.11,2.18,-0.37
  └─ Profit from operations,1.23,0.58,0.57,-0.18,1.79
  └─ Receivables,-0.12,-0.46,0.47,-0.06,-0.49
  └─ Inventory,-0.26,0.59,0.02,-0.16,-1.11
  └─ Payables,0.25,-0.74,-1.13,2.08,0.88
  └─ Loans Advances,-0.04,0.00,0.00,0.00,0.00
  └─ Other WC items,-0.04,-1.13,-0.03,0.56,-1.38
  └─ Working capital changes,-0.21,-1.73,-0.67,2.42,-2.11
  └─ Direct taxes,-0.04,0.00,-0.01,-0.06,-0.05
Cash from Investing Activity,-0.92,-1.36,-2.48,-11.47,-3.99
  └─ Fixed assets purchased,-0.94,-0.86,-2.75,-12.13,-4.08
  └─ Fixed assets sold,0.02,0.01,0.21,0.21,0.09
  └─ Investments purchased,0.00,-0.51,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.06,0.45,0.00
Cash from Financing Activity,-0.19,2.60,5.98,5.82,4.36
  └─ Proceeds from shares,0.00,7.61,4.71,0.83,0.11
  └─ Proceeds from borrowings,0.97,0.00,1.78,5.09,5.98
  └─ Repayment of borrowings,-0.72,-4.86,-0.46,-0.05,-1.04
  └─ Interest paid fin,-0.43,-0.16,-0.06,-0.09,-0.69
  └─ Other financing items,0.00,0.00,0.00,0.05,0.00
Net Cash Flow,-0.13,0.09,3.39,-3.47,0.00
  └─ Free Cash Flow,0.06,-2.00,-2.65,-9.74,-4.36
  └─ CFO/OP,87%,-221%,-32%,-415%,-19%
