Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-10,-10,-4,-11,5,12,-15,24,-14
  └─ Profit from operations,2.12,6.38,6.97,7.67,10.57,12.04,1.21,9.97,15.02
  └─ Receivables,9.85,-0.30,-1.44,6.14,-13.04,10.89,-9.12,4.88,-22.07
  └─ Inventory,-15.24,-8.68,0.24,-33.41,-14.42,-13.61,19.68,17.83,-17.24
  └─ Payables,-4.45,-4.57,-7.85,0.51,1.70,-0.47,0.16,1.34,1.26
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.01,0.00
  └─ Other WC items,-1.52,-2.07,-0.43,9.67,22.77,6.34,-25.79,-9.85,10.32
  └─ Working capital changes,-11.36,-15.62,-9.48,-17.09,-2.99,3.15,-15.09,14.21,-27.73
  └─ Direct taxes,-0.28,-0.98,-1.21,-1.41,-2.15,-2.34,-1.45,-0.08,-1.00
  └─ Other operating items,0.00,0.00,0.00,0.00,0.00,-0.84,0.00,0.00,0.00
  └─ Exceptional CF items,0.00,-0.08,-0.11,0.00,-0.10,-0.12,0.00,0.00,0.00
Cash from Investing Activity,-0,1,-3,-0,-1,-2,-4,-1,-1
  └─ Fixed assets purchased,-0.03,-0.07,-1.93,-0.74,-0.88,-0.40,-2.83,-0.22,-0.77
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
  └─ Capital WIP,0.00,0.00,0.00,0.00,0.00,0.00,-0.79,-0.35,0.00
  └─ Investments purchased,-0.24,0.00,-1.00,0.00,0.00,0.00,0.00,-0.01,0.00
  └─ Investments sold,0.00,0.24,0.00,0.24,0.00,0.00,0.03,0.00,0.00
  └─ Investment income,0.00,0.57,0.13,0.13,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,0.10,-1.68,0.10,-0.20,-0.04
Cash from Financing Activity,10,13,4,10,-4,-6,17,-26,15
  └─ Proceeds from shares,3.24,11.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,10.81,3.82,6.22,12.91,0.00,0.00,24.51,0.18,0.35
  └─ Repayment of borrowings,-3.56,0.00,0.00,0.00,-1.04,-2.79,-1.68,-22.12,0.00
  └─ Interest paid fin,-0.63,-2.74,-2.43,-2.44,-2.61,-3.71,-5.97,-4.15,-4.48
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,19.59
Net Cash Flow,0,3,-3,-1,1,3,-2,-3,1
  └─ Free Cash Flow,-10,-10,-6,-12,4,11,-19,24,-14
  └─ CFO/OP,-525%,-149%,-38%,-123%,72%,119%,-1388%,253%,-87%
