Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,14,26,8,94,90
  └─ Profit from operations,14,31,65,81,109
  └─ Receivables,-1,-2,-8,-31,13
  └─ Payables,5,10,6,16,-2
  └─ Other WC items,-3,-12,-52,39,-30
  └─ Working capital changes,1,-3,-54,24,-19
  └─ Direct taxes,-1,-1,-3,-11,-1
Cash from Investing Activity,-7,-24,-41,-38,-121
  └─ Fixed assets purchased,-7,-24,-34,-12,-103
  └─ Fixed assets sold,0,0,0,0,5
  └─ Investments purchased,-1,-0,-8,-31,-28
  └─ Investments sold,0,0,0,0,14
  └─ Interest received,0,0,0,0,0
  └─ Dividends received,0,0,1,4,0
  └─ Redemp n Canc of Shares,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,-0,0
  └─ Other investing items,0,0,0,0,-10
Cash from Financing Activity,-6,-4,33,-53,49
  └─ Proceeds from shares,5,16,27,24,122
  └─ Proceeds from borrowings,7,18,68,1,108
  └─ Repayment of borrowings,0,0,0,0,-94
  └─ Interest paid fin,-7,-17,-31,-45,-47
  └─ Financial liabilities,-10,-20,-31,-34,-40
Net Cash Flow,1,-1,0,3,18
  └─ Free Cash Flow,7,2,-26,82,-8
  └─ CFO/OP,107%,93%,16%,130%,83%
