Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,4,5,4,1,-15,42
  └─ Profit from operations,6.02,9.89,15.30,18.81,10.23,17.60
  └─ Receivables,3.40,-0.74,-5.16,-16.88,-26.33,-0.55
  └─ Payables,-5.67,-4.44,-4.42,0.78,-0.03,1.59
  └─ Loans Advances,0.00,0.00,0.00,-0.65,-0.05,-0.80
  └─ Other WC items,1.29,1.68,0.14,2.03,1.70,22.83
  └─ Working capital changes,-0.98,-3.51,-9.44,-14.72,-24.70,23.07
  └─ Direct taxes,-0.65,-1.44,-2.15,-3.36,-1.01,1.04
Cash from Investing Activity,-2,-3,-7,-7,-43,-123
  └─ Fixed assets purchased,-1,-3,-6,-7,-43,-123
  └─ Fixed assets sold,0,0,0,0,0,2
  └─ Investments purchased,-1,-0,-1,0,0,0
  └─ Investments sold,0,0,0,0,0,0
  └─ Interest received,0,0,0,0,0,0
  └─ Other investing items,0,0,0,0,0,-3
Cash from Financing Activity,-3,-1,6,6,59,81
  └─ Proceeds from shares,0,0,0,3,52,0
  └─ Proceeds from borrowings,1,1,8,6,10,88
  └─ Repayment of borrowings,-3,-1,-0,0,0,0
  └─ Interest paid fin,-1,-1,-2,-3,-2,-6
  └─ Other financing items,0,0,0,0,0,-0
Net Cash Flow,-0,1,2,-0,1,-0
  └─ Free Cash Flow,4,2,-2,-6,-58,-79
  └─ CFO/OP,95%,73%,50%,23%,-144%,227%
