Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,2,6,3,3,6,-14,6,32,26
  └─ Profit from operations,0.00,10.94,16.37,8.83,2.85,10.75,35.96,52.83,30.92,19.80
  └─ Receivables,0.00,-3.89,-1.27,-6.61,7.92,-8.05,-7.89,-52.73,0.00,11.25
  └─ Inventory,0.00,-1.71,-5.30,-2.76,-2.54,-5.41,-14.87,-5.04,-3.79,-5.13
  └─ Payables,0.00,1.40,0.66,4.41,-0.22,9.27,-8.87,14.39,7.07,2.89
  └─ Loans Advances,0.00,-0.59,-0.48,0.37,-1.16,-2.88,0.00,-0.32,0.70,0.85
  └─ Operating borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.75,-1.53,5.19,3.98
  └─ Other WC items,0.00,-0.20,-0.04,1.16,-3.86,4.00,-11.43,5.33,-2.55,-4.63
  └─ Working capital changes,0.00,-4.99,-6.43,-3.42,0.13,-3.07,-42.31,-39.90,6.62,9.21
  └─ Direct taxes,0.00,-3.75,-3.81,-2.42,-0.21,-1.67,-7.43,-6.77,-5.08,-3.15
  └─ Other operating items,0.00,0.00,0.00,-0.23,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,0,-6,-9,-3,-1,-3,-10,-20,-25,-20
  └─ Fixed assets purchased,0.00,-6.10,-8.92,-3.01,-1.26,-3.64,-9.88,-24.77,-27.84,-19.46
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.10,0.05
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,2.26,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,-0.12,0.15,0.10,-0.41,0.05,-0.17
Cash from Financing Activity,0,5,0,0,-1,-3,30,9,-4,-2
  └─ Proceeds from shares,0.00,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
  └─ Proceeds from borrowings,0.00,1.75,0.99,1.39,0.49,0.00,0.00,11.58,0.00,0.00
  └─ Repayment of borrowings,0.00,0.00,-0.09,-0.10,0.00,-2.16,-0.73,0.00,-0.01,-1.64
  └─ Interest paid fin,0.00,-0.31,-0.59,-0.75,-1.14,-0.88,-1.03,-1.21,-1.00,-1.35
  └─ Dividends paid,0.00,0.00,0.00,-0.34,0.00,0.00,0.00,-1.96,-3.31,0.00
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,32.03,0.88,0.42,0.00
Net Cash Flow,0,2,-2,-0,1,-1,7,-5,3,4
  └─ Free Cash Flow,0,-4,-3,-0,2,2,-24,-19,5,6
  └─ CFO/OP,0%,56%,64%,67%,172%,86%,-19%,28%,143%,184%
