Metric,Jun 2006,Jun 2007,Dec 2008,Dec 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Cash from Operating Activity,-19,41,302,135,245,279,266,650,,125,165,-43
  └─ Profit from operations,199.76,180.34,269.74,266.60,254.97,251.29,211.94,625.73,,64.76,116.01,-31.54
  └─ Receivables,-47.93,42.10,-22.33,-44.32,-83.74,4.98,-26.26,29.98,,11.32,106.69,6.93
  └─ Inventory,27.93,-43.68,-5.94,-126.55,22.99,-31.72,-9.60,-39.72,,-4.66,-4.78,0.45
  └─ Payables,-18.84,25.32,297.59,-52.45,59.23,19.10,79.41,78.00,,26.10,-43.21,2.29
  └─ Loans Advances,-63.12,-128.12,-44.68,128.82,84.12,38.65,7.06,0.33,,28.10,0.00,0.00
  └─ Other WC items,-13.88,-27.63,-181.63,-31.77,-90.37,-3.13,10.84,-37.39,,-0.49,-9.50,-19.54
  └─ Working capital changes,-115.84,-132.01,43.01,-126.27,-7.77,27.88,61.45,31.20,,60.37,49.21,-9.87
  └─ Interest paid,-102.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
  └─ Direct taxes,0.00,-0.10,-1.44,-12.08,-1.87,0.95,-7.79,-4.70,,-0.15,-0.02,-1.94
  └─ Other operating items,0.00,0.00,0.00,0.00,0.00,-0.64,-0.07,-2.13,,0.00,0.00,0.00
  └─ Exceptional CF items,0.00,-6.75,-9.74,7.19,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Cash from Investing Activity,-65,-582,-423,-41,-58,-133,-57,-527,,11,83,86
  └─ Fixed assets purchased,-55,-386,-403,-51,-76,-95,-78,-41,,-4,-7,-7
  └─ Fixed assets sold,1,7,3,1,14,0,0,0,,1,2,18
  └─ Investments purchased,-14,-211,-36,0,-3,0,0,0,,0,-0,0
  └─ Investments sold,0,0,0,0,0,0,0,0,,0,0,21
  └─ Investment income,2,8,13,9,7,6,5,4,,11,0,0
  └─ Interest received,0,0,0,0,0,0,0,0,,0,10,1
  └─ Dividends received,0,0,0,0,0,0,0,0,,0,0,0
  └─ Invest in subsidiaries,0,0,0,0,0,-44,0,-491,,0,0,0
  └─ Other investing items,0,0,0,0,0,0,16,0,,3,78,53
Cash from Financing Activity,349,358,75,-93,-189,-101,-275,-140,,-169,-250,-45
  └─ Proceeds from shares,0.00,150.20,20.25,0.00,0.00,0.00,0.00,180.00,,0.00,61.12,0.00
  └─ Proceeds from debentures,275.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
  └─ Proceeds from borrowings,44.06,332.80,286.34,30.01,133.74,222.33,35.92,85.36,,36.00,23.12,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-146.94,-289.43,-167.19,-70.10,,-135.54,-188.50,-7.27
  └─ Interest paid fin,0.00,-112.19,-216.74,-108.39,-175.32,-180.83,-200.93,-173.64,,-54.78,-65.32,-31.74
  └─ Dividends paid,0.00,-12.63,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
  └─ Share application money,29.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
  └─ Other financing items,0.00,0.00,-14.48,-15.09,0.00,147.37,57.50,-161.27,,-14.36,-80.76,-5.52
Net Cash Flow,265,-182,-46,1,-1,46,-67,-16,,-33,-2,-2
  └─ Free Cash Flow,-73,-338,-98,85,184,185,188,610,,121,160,-33
  └─ CFO/OP,-9%,40%,152%,90%,99%,115%,132%,406%,,289%,145%,111%
