Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,17,23,41,22,34,73,102,133
  └─ Profit from operations,30,31,39,58,91,123,131,175
  └─ Receivables,-15,-2,8,-30,-24,-43,-44,-49
  └─ Inventory,0,-1,1,-1,1,-2,2,-2
  └─ Payables,3,3,-4,11,4,6,8,30
  └─ Loans Advances,1,0,0,0,1,-2,-2,-1
  └─ Leased assets,0,0,0,0,-3,0,0,0
  └─ Other WC items,2,-4,-1,-12,-22,2,19,-5
  └─ Working capital changes,-10,-4,4,-32,-42,-39,-18,-27
  └─ Direct taxes,-3,-4,-3,-5,-15,-11,-12,-15
Cash from Investing Activity,-32,-29,-47,-37,-102,-90,-204,-198
  └─ Fixed assets purchased,-38,-28,-35,-47,-62,-74,-83,-185
  └─ Fixed assets sold,6,0,0,0,0,0,0,0
  └─ Investments purchased,0,0,-14,0,-28,-56,-188,-54
  └─ Investments sold,0,0,0,14,8,73,114,93
  └─ Interest received,0,0,1,0,3,2,6,1
  └─ Other investing items,0,-1,0,-4,-23,-37,-53,-52
Cash from Financing Activity,10,12,5,16,127,176,-21,22
  └─ Proceeds from shares,0.00,0.06,0.00,0.00,200.00,200.57,0.24,0.36
  └─ Proceeds from borrowings,10.74,12.21,15.42,25.90,0.00,0.00,0.00,28.78
  └─ Repayment of borrowings,0.00,0.00,-7.93,-2.32,-38.74,-8.29,-7.47,0.00
  └─ Interest paid fin,0.00,0.00,-0.23,0.00,-2.00,-1.68,-0.01,-0.13
  └─ Dividends paid,-0.58,-0.60,-0.66,-0.27,-9.48,-9.41,-10.11,-10.18
  └─ Financial liabilities,0.00,0.00,0.00,-2.07,-2.40,-2.59,-0.17,-1.56
  └─ Other financing items,0.31,0.65,-1.94,-5.26,-19.89,-2.35,-3.83,4.61
Net Cash Flow,-5,7,-1,1,59,158,-124,-43
  └─ Free Cash Flow,-15,-5,6,-25,-28,-1,18,-52
  └─ CFO/OP,62%,86%,110%,39%,56%,76%,91%,93%
