Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Cash from Operating Activity,6,22,-11,11,8,32
  └─ Profit from operations,7,8,16,33,51,60
  └─ Receivables,1,3,-3,-9,-28,-12
  └─ Inventory,0,-3,3,-4,-3,3
  └─ Payables,1,-1,1,8,-1,5
  └─ Loans Advances,-3,-15,-14,14,-3,-1
  └─ Operating investments,-9,0,0,0,0,0
  └─ Operating borrowings,6,0,0,0,0,0
  └─ Other WC items,3,31,-13,-21,1,-11
  └─ Working capital changes,-1,14,-25,-12,-34,-15
  └─ Direct taxes,-0,-1,-2,-10,-9,-12
Cash from Investing Activity,-1,-3,-7,-11,-63,-9
  └─ Fixed assets purchased,-1.64,-2.91,-26.94,-11.64,0.00,-10.97
  └─ Fixed assets sold,0.00,0.00,20.41,0.65,0.00,0.87
  └─ Capital WIP,0.00,0.00,0.00,0.00,-47.88,0.00
  └─ Investments sold,0.00,0.00,0.55,1.44,0.00,0.00
  └─ Interest received,0.02,0.01,0.02,0.10,0.62,1.06
  └─ Investment in group cos,0.00,0.00,0.00,0.00,0.00,-0.01
  └─ Other investing items,0.15,0.00,-0.75,-1.89,-15.68,-0.08
Cash from Financing Activity,-4,-18,18,-1,56,-4
  └─ Proceeds from shares,0.00,0.00,0.00,7.00,0.00,20.49
  └─ Proceeds from borrowings,0.00,0.00,20.17,1.36,74.35,18.05
  └─ Repayment of borrowings,-0.31,-14.40,0.00,0.00,-11.60,-34.70
  └─ Interest paid fin,-3.25,-3.33,-2.40,-4.14,-4.75,-8.69
  └─ Dividends paid,0.00,0.00,0.00,0.00,-2.46,-2.46
  └─ Other financing items,0.00,0.00,0.00,-4.97,0.00,3.19
Net Cash Flow,1,1,0,-1,0,19
  └─ Free Cash Flow,4,19,-17,-0,-40,22
  └─ CFO/OP,100%,277%,-59%,64%,35%,79%
