Metric,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2025,Mar 2026
Cash from Operating Activity,,,,8.06,3.84,,-6.76,0.99,-0.09,11.23,,
  └─ Profit from operations,,,,7,8,,5,1,-1,-1,1,2
  └─ Receivables,,,,8,-6,,-2,-2,2,1,-34,-62
  └─ Payables,,,,-7,5,,6,-2,-4,10,1,-1
  └─ Loans Advances,,,,0,-2,,7,4,4,2,0,0
  └─ Other WC items,,,,0,0,,0,0,-0,0,-62,62
  └─ Working capital changes,,,,1,-4,,12,0,1,13,-95,-1
  └─ Direct taxes,,,,0,-0,,0,0,0,0,0,0
  └─ Other operating items,,,,0,0,,-23,0,0,0,0,0
Cash from Investing Activity,,,,-22.47,-0.15,,-0.09,0.56,0.08,-1.31,,
  └─ Fixed assets purchased,,,,0.00,-0.15,,-0.70,0.00,0.00,0.00,0.00,0.00
  └─ Fixed assets sold,,,,9.19,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,,,,0.00,0.00,,0.00,0.00,0.00,0.00,0.10,-0.32
  └─ Dividends received,,,,0.03,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Invest in subsidiaries,,,,-20.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,,,,-11.69,0.00,,0.61,0.56,0.08,-1.31,0.00,-0.05
Cash from Financing Activity,,,,13.33,-0.77,,6.83,-1.58,0.00,-10.01,,
  └─ Proceeds from shares,,,,20.00,0.00,,0.00,0.00,0.00,0.00,95.94,0.00
  └─ Proceeds from borrowings,,,,1.40,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,,,,-8.07,0.00,,0.00,0.00,0.00,0.00,-1.71,-1.01
  └─ Financial liabilities,,,,0.00,-0.77,,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,,,,0.00,0.00,,6.83,-1.58,0.00,-10.01,0.00,0.00
Net Cash Flow,,,,-1.08,2.92,,-0.02,-0.03,-0.01,-0.09,,
  └─ Free Cash Flow,,,,17.25,3.69,,-7.46,0.99,-0.09,11.23,,
  └─ CFO/OP,,,,-111%,74%,,233%,-146%,5%,-884%,,
