Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,22,333,65,204,250,66,222
  └─ Profit from operations,127,320,421,419,11,183,241
  └─ Receivables,-107,27,-119,20,83,-139,-75
  └─ Inventory,48,-72,-259,26,129,-82,70
  └─ Payables,-46,108,233,-126,45,63,-12
  └─ Loans Advances,-0,0,-0,0,0,-0,-0
  └─ Other WC items,29,23,-115,-51,-12,45,26
  └─ Working capital changes,-77,85,-261,-130,245,-113,9
  └─ Direct taxes,-29,-71,-95,-84,-7,-4,-28
Cash from Investing Activity,13,-307,-133,-418,-178,31,-38
  └─ Fixed assets purchased,-71,-209,-244,-465,-266,-89,-45
  └─ Fixed assets sold,0,0,1,1,2,3,1
  └─ Investments purchased,-46,-268,-129,-420,-244,-32,-72
  └─ Investments sold,98,168,234,388,260,48,71
  └─ Investment income,0,3,5,18,17,11,0
  └─ Interest received,4,0,0,0,0,0,0
  └─ Dividends received,17,0,0,0,0,0,0
  └─ Other investing items,11,-0,-1,60,53,89,7
Cash from Financing Activity,-26,-14,58,234,-85,-91,-190
  └─ Proceeds from borrowings,20,110,150,387,157,166,52
  └─ Repayment of borrowings,-13,-114,-44,-74,-143,-175,-156
  └─ Interest paid fin,-6,-9,-11,-42,-63,-80,-87
  └─ Dividends paid,-26,0,-35,-36,-36,0,0
  └─ Financial liabilities,-1,-2,-2,-2,-2,-2,-0
Net Cash Flow,8,12,-10,21,-14,6,-7
  └─ Free Cash Flow,-49,124,-177,-259,-14,-20,178
  └─ CFO/OP,48%,143%,42%,84%,-1328%,49%,142%
