Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-4,-6,3,-7
  └─ Profit from operations,3.22,3.87,2.83,-19.22
  └─ Receivables,-12.46,-7.31,1.05,9.09
  └─ Payables,1.42,-2.40,0.19,1.47
  └─ Other WC items,3.83,1.57,-0.39,1.85
  └─ Working capital changes,-7.21,-8.14,0.85,12.41
  └─ Direct taxes,0.00,-1.23,-0.51,0.00
Cash from Investing Activity,0,-2,-1,-1
  └─ Fixed assets purchased,-1.26,-2.36,-2.04,-2.30
  └─ Interest received,0.11,0.74,0.94,1.31
  └─ Other investing items,1.23,0.00,-0.03,0.00
Cash from Financing Activity,24,-0,9,-0
  └─ Proceeds from shares,26.48,0.00,9.49,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.04,0.00
  └─ Repayment of borrowings,-0.02,-0.04,0.00,-0.06
  └─ Interest paid fin,-2.02,-0.09,-0.20,-0.02
  └─ Other financing items,0.00,-0.01,0.00,0.00
Net Cash Flow,21,-7,11,-8
  └─ Free Cash Flow,-5,-8,1,-9
  └─ CFO/OP,-72%,-128%,238%,34%
