Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.00,-1.36,-0.76,-1.18,-1.67,0.57,0.33,-0.15,-0.78,0.01
  └─ Profit from operations,0.00,1.37,1.17,0.87,-3.28,-0.33,1.67,0.46,-3.16,-0.55
  └─ Receivables,0.00,-1.55,-1.03,-0.94,0.82,-1.13,-1.47,-0.82,1.95,0.44
  └─ Inventory,0.00,-0.02,0.03,0.01,0.06,0.02,0.00,-0.08,0.07,0.01
  └─ Payables,0.00,0.15,0.08,-0.08,0.05,0.08,-0.16,0.30,0.58,-0.12
  └─ Loans Advances,0.00,-0.14,-0.41,-1.33,0.56,0.51,-0.12,-0.16,0.22,-0.03
  └─ Other WC items,0.00,-0.87,-0.36,0.49,0.12,1.44,0.41,0.30,-0.32,0.26
  └─ Working capital changes,0.00,-2.43,-1.68,-1.85,1.61,0.91,-1.34,-0.46,2.51,0.56
  └─ Direct taxes,0.00,-0.30,-0.25,-0.20,0.00,-0.01,0.00,-0.16,-0.13,0.00
Cash from Investing Activity,0.00,-2.56,0.39,-2.10,1.17,-0.29,-0.18,-0.42,0.20,-0.02
  └─ Fixed assets purchased,0.00,-1.27,-0.71,-0.44,-0.09,-0.26,-0.44,-0.63,0.00,-0.02
  └─ Fixed assets sold,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.39,0.02,0.00
  └─ Investments purchased,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,-1.30,1.06,-1.06,1.26,-0.23,0.26,-0.17,0.18,0.00
Cash from Financing Activity,0.00,4.11,0.03,3.22,0.03,0.01,0.02,0.25,0.55,0.00
  └─ Proceeds from shares,0.00,4.06,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.55,0.00
  └─ Other financing items,0.00,0.05,0.03,0.02,0.03,0.01,0.02,-0.25,0.00,0.00
Net Cash Flow,0.00,0.19,-0.33,-0.07,-0.47,0.29,0.16,-0.32,-0.03,-0.01
  └─ Free Cash Flow,0.00,-2.62,-1.43,-1.62,-1.76,0.31,-0.11,-0.39,-0.76,-0.01
  └─ CFO/OP,0%,-78%,-43%,-109%,52%,-17%,23%,3%,22%,-2%
