Metric,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,-0.74,1.96,2.59
  └─ Profit from operations,4.82,6.83,15.01
  └─ Receivables,0.96,-2.84,-8.04
  └─ Inventory,-1.64,-3.28,-5.55
  └─ Payables,-4.95,0.69,2.20
  └─ Loans Advances,-0.51,0.52,0.45
  └─ Other WC items,0.85,0.47,-0.60
  └─ Working capital changes,-5.29,-4.44,-11.54
  └─ Direct taxes,-0.28,-0.43,-0.87
Cash from Investing Activity,-3.35,-7.86,-1.69
  └─ Fixed assets purchased,-3.33,-5.33,-1.14
  └─ Investments sold,0.00,0.09,0.00
  └─ Interest received,0.01,0.00,0.01
  └─ Other investing items,-0.03,-2.62,-0.56
Cash from Financing Activity,3.76,6.20,-1.20
  └─ Proceeds from borrowings,6.19,9.15,6.14
  └─ Repayment of borrowings,-0.33,0.00,-3.84
  └─ Interest paid fin,-2.10,-2.96,-3.51
Net Cash Flow,-0.34,0.30,-0.30
  └─ Free Cash Flow,-4.07,-3.37,1.45
  └─ CFO/OP,-11%,40%,26%
