Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity,-29,-21,-53,-45,9,-102,-101,-109,-24,33,9
  └─ Profit from operations,-14.75,-19.25,-14.82,-56.80,-53.24,-60.07,-95.68,-111.76,-39.61,-36.22,-20.73
  └─ Receivables,-1.87,16.38,-27.34,24.45,4.73,-40.84,-3.65,-14.12,-7.94,16.80,0.03
  └─ Inventory,-6.35,-16.89,20.72,7.12,1.31,-25.77,37.54,-19.52,41.88,4.63,3.55
  └─ Payables,-0.50,0.98,-19.57,-18.41,54.03,24.53,-57.35,22.43,-23.04,-27.22,18.83
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,0.92,19.41,1.81,4.26,87.19,11.70
  └─ Operating borrowings,0.00,0.00,0.00,0.00,0.00,0.31,0.00,-2.82,0.40,0.00,0.00
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,0.60,-0.16,14.71,0.22,-10.70,-6.01
  └─ Working capital changes,-8.72,0.47,-26.19,13.16,60.07,-40.25,-4.21,2.49,15.78,70.70,28.10
  └─ Direct taxes,-5.85,-1.80,-11.93,-1.49,2.27,-2.07,-0.71,-0.18,-0.22,-1.31,1.15
Cash from Investing Activity,-4,62,101,47,57,76,102,143,78,1,0
  └─ Fixed assets purchased,-13.97,-15.05,-10.58,-15.81,-7.66,-5.84,-2.50,-18.19,-4.64,-0.01,0.00
  └─ Fixed assets sold,7.89,76.39,108.31,61.46,55.95,49.81,65.36,2.30,53.37,0.63,0.18
  └─ Investments purchased,0.00,0.00,0.00,0.00,-11.67,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,2.19,0.00,0.00,0.00,7.20,30.63,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.09,1.89,0.01,1.08,1.45,1.41,2.27,0.16,0.07,0.06
  └─ Dividends received,0.23,1.29,1.60,1.60,0.20,0.01,0.01,0.98,0.00,0.01,0.02
  └─ Investment in group cos,0.00,-0.36,0.00,0.00,0.00,0.00,51.62,0.00,0.00,0.00,0.00
  └─ Other investing items,-0.06,-0.10,-0.14,0.00,11.67,0.00,-14.06,155.88,29.44,0.00,0.11
Cash from Financing Activity,-15,12,-97,-6,-35,25,-10,-47,-61,-35,-9
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,18.07,10.84,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,28.40,0.00,22.06,0.00,6.00,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-5.20,-0.01,-77.28,-15.97,-23.74,-20.71,-16.38,-11.58,-4.40,-4.40,0.00
  └─ Proceeds from deposits,0.00,0.00,0.00,0.00,0.00,54.26,0.00,0.00,0.00,-16.40,0.42
  └─ Interest paid fin,-9.17,-16.02,-20.08,-11.68,-11.02,-14.51,-33.43,-25.63,-9.53,-13.74,-9.39
  └─ Dividends paid,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,-0.63,0.00,0.00,0.00,0.00,0.00,21.97,-20.90,-46.72,0.00,0.00
Net Cash Flow,-48,54,-49,-3,31,-1,-9,-13,-6,-1,-0
  └─ Free Cash Flow,-35,41,45,1,57,-58,-38,-125,25,34,9
  └─ CFO/OP,70%,18%,30%,34%,-5%,86%,102%,93%,54%,-91%,-35%
