Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-3.60,-13.15,8.00,21.07,23.22,-5.55,2.02,5.19
  └─ Profit from operations,9.19,3.65,4.48,3.20,1.07,-0.74,0.44,-1.09
  └─ Receivables,-11.12,-15.60,6.23,24.62,23.63,-5.05,-1.10,9.37
  └─ Inventory,0.31,2.03,1.05,-5.14,-0.67,2.17,1.47,-5.14
  └─ Payables,-1.08,-1.68,-2.84,-0.78,-0.54,-1.72,1.37,2.46
  └─ Working capital changes,-11.89,-15.25,4.44,18.71,22.42,-4.60,1.74,6.69
  └─ Direct taxes,-0.90,-1.55,-0.91,-0.84,-0.27,-0.21,-0.15,-0.41
Cash from Investing Activity,2.34,-3.20,7.87,-5.18,-4.85,1.77,3.06,1.07
  └─ Fixed assets purchased,-4.53,-5.30,0.00,-1.37,-4.76,-0.35,-0.26,-0.52
  └─ Fixed assets sold,0.00,0.00,2.58,0.05,0.51,0.55,0.22,4.14
  └─ Investments purchased,-0.42,0.00,0.00,-0.72,-1.05,0.00,0.00,-4.45
  └─ Investments sold,0.00,1.13,0.67,0.00,0.00,0.29,0.16,0.00
  └─ Interest received,7.29,3.22,2.46,3.23,2.17,2.64,1.63,1.59
  └─ Investment in group cos,0.00,-11.15,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,8.91,2.16,-6.37,-1.72,-1.36,1.31,0.30
Cash from Financing Activity,1.45,15.65,-13.20,-18.90,-18.55,3.70,-4.81,-5.22
  └─ Proceeds from shares,0.15,1.40,0.00,1.20,1.40,0.00,0.00,0.00
  └─ Proceeds from borrowings,3.26,19.98,0.00,0.00,3.24,6.02,0.00,0.00
  └─ Repayment of borrowings,-0.39,-4.22,-12.61,-17.76,-21.99,-0.56,-3.36,-3.76
  └─ Interest paid fin,-1.30,-1.25,-0.59,-1.90,-0.98,-1.77,-1.45,-1.46
  └─ Dividends paid,-0.22,-0.22,0.00,-0.45,-0.22,0.00,0.00,0.00
  └─ Other financing items,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,0.20,-0.71,2.67,-3.01,-0.18,-0.09,0.27,1.04
  └─ Free Cash Flow,-8.13,-18.45,10.58,19.75,18.97,-5.35,1.98,8.81
  └─ CFO/OP,-38%,-487%,300%,1048%,4121%,574%,-7233%,-258%
