Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,5,2,7,6,-1,17,-8,27,11
  └─ Profit from operations,6.26,5.96,6.40,11.54,25.64,35.26,21.60,18.74,2.18
  └─ Receivables,-3.18,-1.09,1.66,3.47,0.23,-25.96,-2.64,-8.53,-9.70
  └─ Inventory,0.18,3.38,-0.96,-1.33,2.03,-4.27,-10.19,-6.42,-0.87
  └─ Payables,1.37,-4.01,-1.30,9.10,-0.10,11.45,2.99,8.09,16.81
  └─ Operating Deposits,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53
  └─ Other WC items,0.71,-1.35,2.06,-14.77,-23.58,6.20,-18.15,16.95,5.60
  └─ Working capital changes,-0.92,-3.07,1.46,-3.53,-21.42,-12.58,-27.98,10.08,12.36
  └─ Direct taxes,0.00,-0.79,-0.66,-2.22,-4.74,-5.46,-1.97,-2.07,-3.62
Cash from Investing Activity,-1,-7,-6,-9,-46,-105,-73,-44,-11
  └─ Fixed assets purchased,-1.05,-7.11,-5.30,-16.42,-46.08,-105.89,-71.63,-44.63,-11.53
  └─ Fixed assets sold,0.00,0.04,0.00,0.01,0.04,0.85,0.85,0.00,0.00
  └─ Investments purchased,0.00,-0.01,-0.50,0.00,-0.04,0.00,-2.73,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,7.74,0.00,0.04,0.00,0.00,0.00
  └─ Interest received,0.12,0.02,0.06,0.13,0.21,0.37,0.92,0.15,0.76
Cash from Financing Activity,-4,4,-1,3,48,87,82,16,-1
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,7.79,47.66,75.56,27.84,0.05
  └─ Proceeds from borrowings,0.00,5.41,0.85,3.37,42.64,44.27,12.46,0.00,10.54
  └─ Repayment of borrowings,-2.97,0.00,0.00,0.00,0.00,0.00,0.00,-5.19,0.00
  └─ Interest paid fin,-0.21,-0.37,-1.29,-0.24,-1.96,-3.41,-5.13,-6.31,-10.84
  └─ Dividends paid,-0.62,-0.62,-0.62,-0.37,-0.62,-0.77,-0.93,0.00,0.00
  └─ Financial liabilities,0.00,0.00,0.00,-0.24,-0.15,-0.25,-0.25,-0.17,-0.36
  └─ Other financing items,-0.13,-0.13,-0.13,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,0,-1,0,-0,1,0,1,-2,-0
  └─ Free Cash Flow,4,-5,2,-11,-47,-88,-79,-18,-1
  └─ CFO/OP,97%,57%,144%,72%,17%,64%,-32%,162%,-932%
