Metric,Mar 2024
Cash from Operating Activity,-8.57
  └─ Profit from operations,1.88
  └─ Receivables,-7.21
  └─ Inventory,-3.04
  └─ Loans Advances,-1.60
  └─ Other WC items,1.49
  └─ Working capital changes,-10.36
  └─ Direct taxes,-0.09
Cash from Investing Activity,-2.09
  └─ Fixed assets purchased,-2.25
  └─ Interest received,0.14
  └─ Other investing items,0.01
Cash from Financing Activity,10.65
  └─ Proceeds from borrowings,2.47
  └─ Interest paid fin,-0.69
  └─ Other financing items,8.87
Net Cash Flow,-0.01
  └─ Free Cash Flow,-10.82
  └─ CFO/OP,232%
