Metric,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2026
Cash from Operating Activity,19,-21,38,35,17,31,5,101,20,28,8,5
  └─ Profit from operations,16.92,21.12,15.63,16.98,180.97,57.51,-11.76,-8.98,39.27,25.57,-2.07,14.56
  └─ Receivables,-5.11,-20.81,-2.14,-0.99,-22.64,-9.22,5.94,42.83,-1.73,0.43,6.60,-1.29
  └─ Inventory,-13.98,-20.25,18.09,-2.27,-168.41,-31.09,8.95,114.12,5.10,11.26,9.30,2.00
  └─ Payables,0.00,0.00,0.00,7.39,-3.64,44.53,-33.23,-10.84,-20.16,-4.55,-5.15,5.13
  └─ Loans Advances,-9.60,-6.04,3.65,7.59,-20.76,-4.53,33.11,4.92,3.28,0.00,0.00,0.00
  └─ Other WC items,31.88,4.21,4.08,6.53,53.51,-25.95,1.78,-41.09,-5.88,-4.92,-0.95,-14.75
  └─ Working capital changes,3.19,-42.90,23.68,18.26,-161.93,-26.26,16.55,109.94,-19.39,2.22,9.80,-8.91
  └─ Direct taxes,-1.41,0.84,-1.66,-0.06,-1.82,0.00,0.00,0.00,0.00,0.00,0.00,-0.49
Cash from Investing Activity,-35,1,-0,1,-234,-55,-85,274,-8,11,14,-16
  └─ Fixed assets purchased,-99.23,-8.98,-5.13,-2.46,-238.77,-56.94,-89.78,0.00,0.00,-0.31,0.00,-3.29
  └─ Fixed assets sold,62.35,5.72,0.53,0.00,0.00,0.00,0.00,310.34,18.81,0.00,6.31,0.00
  └─ Investments purchased,0.00,0.00,0.00,0.00,0.00,-2.44,-2.48,0.00,0.00,0.00,0.00,-15.12
  └─ Investments sold,0.00,0.00,0.00,0.00,0.83,2.77,0.00,1.94,11.86,10.83,1.85,1.91
  └─ Interest received,0.36,1.06,0.30,0.55,1.26,0.85,0.40,0.38,0.01,0.41,6.71,0.64
  └─ Investment in group cos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-39.24,-38.90,0.00,-0.80,0.00
  └─ Other investing items,1.17,3.50,3.82,3.03,2.58,0.47,6.93,0.72,0.00,0.00,0.00,0.00
Cash from Financing Activity,20,18,-38,-32,16,-29,38,-125,-15,-19,-1,11
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,26.88,0.00,0.02,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,22.01,44.21,6.22,0.00,23.73,4.07,1.37,2.01,0.00,0.00,10.85,18.01
  └─ Repayment of borrowings,0.00,-7.24,-23.60,-10.78,-9.82,-1.13,-10.09,-18.93,-7.03,-3.19,-0.03,-6.36
  └─ Interest paid fin,-7.30,-10.70,-9.43,-10.89,-30.29,-33.32,-37.39,-19.50,-15.74,-13.58,-11.79,-0.02
  └─ Dividends paid,-0.92,-2.29,-1.91,-1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,6.47,-6.01,-8.97,-9.11,5.25,1.47,84.51,-89.04,7.37,-2.11,0.07,-0.53
Net Cash Flow,4,-2,-1,4,-201,-53,-42,250,-4,20,21,0
  └─ Free Cash Flow,-18,-24,33,33,-222,-26,-85,411,39,27,14,2
  └─ CFO/OP,202%,-165%,335%,179%,19%,41%,-45%,3422%,58%,212%,-307%,37%
