Metric,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,33,3,38,32,21,33,54,51,58,45,20,15
  └─ Profit from operations,7.62,23.66,21.12,28.43,37.43,52.15,47.25,52.76,65.77,61.10,44.27,27.10
  └─ Receivables,17.87,-6.31,5.59,-20.03,-3.40,-10.16,16.80,-14.89,-5.31,-2.23,-21.46,0.09
  └─ Inventory,4.49,1.31,-1.01,0.14,0.98,-2.63,-0.86,-4.44,7.34,-1.20,-7.49,-5.56
  └─ Payables,-7.88,-3.50,-0.43,8.42,4.95,-0.18,-0.56,19.34,-8.19,-9.35,13.42,-3.03
  └─ Loans Advances,-2.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,4.09,-3.40,7.73,17.47,-14.61,3.45,-18.50,-1.90,4.10,14.44,5.72,4.59
  └─ Working capital changes,15.66,-11.90,11.88,6.00,-12.08,-9.52,-3.12,-1.89,-2.06,1.66,-9.81,-3.91
  └─ Direct taxes,-3.17,-9.08,4.93,-2.28,-4.13,-9.46,9.70,-0.31,-5.63,-17.87,-14.80,-7.93
  └─ Other operating items,12.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,-7,-8,-3,-14,-45,-40,-8,-18,-25,-19,-17,-21
  └─ Fixed assets purchased,-7.66,-10.18,-16.21,-20.79,-53.39,-48.00,-9.30,-17.98,-25.09,-16.31,-16.57,-23.28
  └─ Fixed assets sold,0.05,0.07,0.00,4.01,6.80,0.11,0.37,0.08,0.00,0.13,0.21,2.34
  └─ Investments purchased,-0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.04,0.00,0.00
  └─ Investments sold,0.10,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.43,0.48,0.05,0.03,2.01,1.07,1.37,0.11,0.19,0.05,0.05,0.28
  └─ Dividends received,0.07,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Redemp n Canc of Shares,0.00,0.00,0.00,0.00,0.00,6.77,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-0.01,1.92,9.85,2.43,-0.16,-0.01,0.00,-0.10,-0.03,-0.05,-0.23,-0.10
Cash from Financing Activity,-24,5,-40,-12,25,4,-47,-19,-33,-20,-11,11
  └─ Proceeds from borrowings,17,0,0,133,185,175,91,168,114,78,107,186
  └─ Repayment of borrowings,-19,0,0,-139,-152,-152,-124,-174,-130,-83,-102,-165
  └─ Proceeds from deposits,43,0,0,0,0,0,0,0,0,0,0,0
  └─ Interest paid fin,-10,-13,-9,-6,-7,-13,-9,-7,-7,-5,-6,-5
  └─ Dividends paid,0,0,-0,-0,0,-4,-3,-3,-4,-5,-5,-2
  └─ Financial liabilities,0,0,0,-1,-1,-2,-2,-4,-5,-6,-5,-3
  └─ Other financing items,-56,19,-31,0,0,0,0,0,0,0,0,0
Net Cash Flow,1,0,-5,6,2,-2,-1,14,1,6,-8,6
  └─ Free Cash Flow,25,-7,22,15,-25,-15,45,33,33,29,3,-6
  └─ CFO/OP,-3159%,54%,179%,137%,70%,86%,98%,101%,103%,104%,81%,80%
