Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,31,88,65,45,69,46,-6,88,191,316,219
  └─ Profit from operations,82,104,129,123,41,28,110,183,263,301,346
  └─ Receivables,-16,-19,-58,-3,60,-82,-83,-62,40,-118,-82
  └─ Inventory,-8,-25,-26,-19,15,-3,-48,-42,-7,-12,-63
  └─ Payables,-2,50,59,-40,-26,99,28,26,-31,67,52
  └─ Loans Advances,-7,0,0,-0,-0,0,-0,0,0,-0,-0
  └─ Other WC items,-12,-19,-25,5,-11,13,3,18,-37,78,15
  └─ Working capital changes,-44,-13,-51,-57,37,27,-101,-60,-35,14,-79
  └─ Direct taxes,-6,-4,-13,-21,-8,-9,-15,-35,-37,1,-48
Cash from Investing Activity,-74,-77,-78,-60,-103,-80,-124,-106,-148,-147,11
  └─ Fixed assets purchased,-75,-78,-79,-61,-104,-81,-100,-108,-194,-185,-191
  └─ Fixed assets sold,0,0,0,2,2,0,0,1,1,28,201
  └─ Investments purchased,0,0,0,-1,0,0,-1,0,-2,0,0
  └─ Investments sold,0,0,0,0,0,0,0,0,19,4,0
  └─ Interest received,0,0,0,0,0,0,0,1,2,6,1
  └─ Invest in subsidiaries,0,0,0,0,0,0,0,0,0,0,-1
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,0,17,0,0
  └─ Other investing items,0,1,0,-0,0,0,-23,0,9,-0,-0
Cash from Financing Activity,43,-7,14,26,34,21,134,35,-55,-176,-207
  └─ Proceeds from shares,0,0,60,20,17,53,30,0,0,0,0
  └─ Proceeds from borrowings,111,83,67,75,151,367,1229,1196,1968,697,5482
  └─ Repayment of borrowings,-33,-57,-73,-15,-98,-377,-1098,-1126,-1941,-768,-5598
  └─ Interest paid fin,-19,-30,-34,-33,-35,-22,-25,-32,-64,-74,-56
  └─ Dividends paid,-10,-2,-9,-13,-5,0,0,0,-19,-27,-22
  └─ Financial liabilities,0,0,0,0,-3,-2,-2,-3,-3,-4,-12
  └─ Other financing items,-6,-0,3,-8,7,2,0,0,4,0,0
Net Cash Flow,-0,4,1,11,0,-13,5,17,-12,-7,23
  └─ Free Cash Flow,-44,10,-13,-15,-34,-34,-106,-20,-2,159,229
  └─ CFO/OP,47%,103%,62%,56%,164%,176%,12%,67%,85%,111%,78%
