Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,-7,-5,7,6,7,-7,5,-15,-5
  └─ Profit from operations,0,8,8,7,8,7,6,5,11,25
  └─ Receivables,0,-5,-15,19,1,7,-17,0,-18,-38
  └─ Inventory,0,-15,5,-2,10,-9,1,0,-2,-14
  └─ Payables,0,13,1,-15,-19,2,5,5,-3,60
  └─ Other WC items,0,-6,-1,-1,6,2,-1,-5,-4,-36
  └─ Working capital changes,0,-13,-11,1,-1,2,-12,1,-26,-28
  └─ Direct taxes,0,-1,-2,-1,-1,-1,-1,-0,-0,-2
Cash from Investing Activity,0,-1,0,-23,-1,6,6,9,4,-18
  └─ Fixed assets purchased,0.00,-0.21,-1.20,-23.20,-0.60,-0.10,-1.12,-0.67,-1.52,-0.85
  └─ Fixed assets sold,0.00,0.01,0.00,0.00,0.00,5.66,6.60,8.76,4.80,0.00
  └─ Investments purchased,0.00,0.00,0.00,-0.65,0.00,0.00,0.00,-0.28,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00
  └─ Investment income,0.00,0.09,0.10,0.08,0.07,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.05,0.11,1.22
  └─ Investment in group cos,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,-0.52,1.29,0.43,-0.58,0.02,0.15,-0.17,0.12,-18.77
Cash from Financing Activity,0,7,-2,14,-5,-6,-15,-12,22,20
  └─ Proceeds from shares,0.00,14.58,0.00,0.00,0.00,0.00,0.00,0.00,26.15,0.40
  └─ Proceeds from borrowings,0.00,3.09,0.60,17.68,1.98,5.17,0.00,0.02,0.00,0.26
  └─ Repayment of borrowings,0.00,-8.47,-0.44,-0.18,-1.93,-7.05,-9.72,-6.96,-2.15,-1.30
  └─ Interest paid fin,0.00,-1.19,-1.75,-2.67,-4.58,-3.72,-4.75,-4.53,-2.59,-2.53
  └─ Dividends paid,0.00,-0.18,-0.09,-0.09,-0.10,0.00,0.00,0.00,0.00,0.00
  └─ Financial liabilities,0.00,0.00,0.00,-1.00,-0.61,-0.42,-0.44,-0.46,-0.48,-0.53
  └─ Other financing items,0.00,-0.51,-0.02,-0.13,-0.15,-0.20,-0.12,-0.42,0.93,23.54
Net Cash Flow,0,-0,-7,-3,-1,7,-16,1,10,-4
  └─ Free Cash Flow,0,-7,-7,-17,5,13,-1,13,-12,-6
  └─ CFO/OP,0%,-81%,-49%,599%,84%,193%,-100%,85%,-141%,-11%
