Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-17,40,-27,102,159,-57,208,424
  └─ Profit from operations,12,19,42,109,209,337,585,991
  └─ Receivables,-0,-15,-21,13,-110,-280,-151,-162
  └─ Inventory,-14,-19,-6,-66,-58,-169,-132,-983
  └─ Payables,3,35,-20,25,181,182,3,38
  └─ Loans Advances,-16,9,-22,0,0,0,0,0
  └─ Other WC items,0,12,1,23,-54,-108,-36,579
  └─ Working capital changes,-27,22,-68,-6,-42,-375,-315,-528
  └─ Direct taxes,-2,-2,-1,-1,-7,-20,-61,-38
Cash from Investing Activity,-15,-119,-63,-189,-309,-387,-1587,-4071
  └─ Fixed assets purchased,-15,-119,-64,-191,-312,-187,-1505,-3035
  └─ Fixed assets sold,0,0,0,0,1,0,1,3
  └─ Investments purchased,0,-0,0,0,-2,0,-4,-185
  └─ Investments sold,0,0,0,0,0,4,0,0
  └─ Interest received,0,0,0,1,3,6,18,34
  └─ Other investing items,0,0,0,0,0,-210,-96,-887
Cash from Financing Activity,33,87,101,91,177,562,1807,3643
  └─ Proceeds from shares,41,0,0,0,0,300,1477,2
  └─ Proceeds from borrowings,0,87,102,130,229,358,589,3722
  └─ Repayment of borrowings,-4,0,-1,0,0,0,-151,0
  └─ Interest paid fin,0,0,0,-37,-47,-86,-79,-182
  └─ Dividends paid,0,0,0,-2,-5,-2,-12,-17
  └─ Other financing items,-3,0,0,0,0,-8,-18,118
Net Cash Flow,1,8,11,4,27,118,427,-4
  └─ Free Cash Flow,-32,-79,-90,-88,-151,-244,-1297,-2608
  └─ CFO/OP,-101%,154%,-43%,95%,80%,-11%,48%,48%
