Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,-2,-1,1,6
  └─ Profit from operations,0.26,0.89,3.00,12.04
  └─ Receivables,-0.45,-0.74,-7.80,-4.68
  └─ Inventory,0.00,-1.02,-2.80,1.14
  └─ Payables,-1.21,0.49,9.49,1.03
  └─ Loans Advances,-0.08,-0.13,-0.15,-0.04
  └─ Working capital changes,-1.73,-1.40,-1.27,-2.55
  └─ Direct taxes,-0.05,-0.18,-0.74,-3.14
Cash from Investing Activity,-1,-1,-1,1
  └─ Fixed assets purchased,-1.41,-0.87,-0.21,-0.13
  └─ Investments sold,0.66,0.00,0.00,0.00
  └─ Interest received,0.13,0.28,0.60,0.69
  └─ Other investing items,-0.10,-0.01,-0.99,0.67
Cash from Financing Activity,1,2,3,2
  └─ Proceeds from borrowings,1.15,2.49,3.73,2.86
  └─ Repayment of borrowings,-0.32,0.00,0.00,0.00
  └─ Interest paid fin,-0.04,-0.15,-0.42,-0.58
  └─ Other financing items,0.01,0.01,0.02,0.04
Net Cash Flow,-1,1,4,10
  └─ Free Cash Flow,-3,-2,1,6
  └─ CFO/OP,-588%,-58%,58%,79%
