Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,8,-2,8,-1,12,8,24,10,30,-11
  └─ Profit from operations,8,13,15,13,12,15,34,41,43,47
  └─ Receivables,-3,-6,0,-4,-1,-5,-21,-20,-35,-65
  └─ Inventory,-7,-7,-4,-9,-3,-10,-2,-8,-48,0
  └─ Payables,7,1,3,2,6,11,20,7,79,55
  └─ Loans Advances,-1,0,-1,-3,0,0,0,0,0,0
  └─ Other WC items,5,1,0,3,0,0,0,0,0,-40
  └─ Working capital changes,1,-11,-2,-11,3,-4,-2,-22,-4,-50
  └─ Direct taxes,-2,-4,-4,-2,-2,-2,-7,-9,-9,-7
Cash from Investing Activity,-4,-4,-12,-7,-3,-5,-14,-23,-83,-40
  └─ Fixed assets purchased,-3.85,-5.00,-11.24,-7.68,-4.90,-4.03,-3.77,-33.03,-82.33,-39.92
  └─ Fixed assets sold,0.02,0.08,0.04,0.04,0.00,0.09,0.02,0.00,0.03,0.00
  └─ Investments purchased,-0.10,0.00,0.00,0.00,0.00,0.00,-4.65,-0.01,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.00,0.00
  └─ Interest received,0.08,0.25,0.00,0.32,0.32,0.22,0.25,0.24,0.32,0.41
  └─ Other investing items,0.00,0.93,-0.29,-0.07,1.27,-1.08,-6.13,4.85,-1.38,-0.95
Cash from Financing Activity,-0,16,-10,6,-9,-3,-9,17,49,52
  └─ Proceeds from shares,0,24,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,1,0,0,10,0,1,0,22,56,69
  └─ Repayment of borrowings,0,-4,-7,0,-6,0,-6,0,0,0
  └─ Interest paid fin,-1,-2,-1,-2,-2,-2,-1,-2,-4,-13
  └─ Dividends paid,0,0,-2,-2,-1,-2,-2,-3,-3,-4
  └─ Financial liabilities,0,0,0,0,-1,-1,-1,-1,-0,-1
  └─ Other financing items,0,-1,-0,0,0,0,0,0,0,0
Net Cash Flow,3,11,-13,-2,-0,0,1,4,-5,1
  └─ Free Cash Flow,4,-7,-3,-9,7,4,21,-23,-52,-50
  └─ CFO/OP,95%,14%,87%,12%,140%,74%,97%,47%,91%,-8%
