Metric,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,68,40,43,43,32,30,44,17,41,20,5,26
  └─ Profit from operations,66,27,41,25,7,18,23,21,37,27,72,78
  └─ Receivables,-22,4,24,-17,40,-14,-5,14,-28,-5,-20,-25
  └─ Inventory,2,1,-1,0,21,-6,7,-13,-25,28,-14,-2
  └─ Payables,39,5,-13,44,-32,30,9,14,57,-27,5,-22
  └─ Loans Advances,-19,5,-11,0,-0,-0,0,-0,-0,-0,-0,-0
  └─ Other WC items,2,-2,3,-9,-3,2,10,-18,-0,-2,-39,-2
  └─ Working capital changes,2,13,2,18,26,12,21,-3,3,-7,-68,-51
  └─ Direct taxes,-0,-0,-0,-0,-1,-0,-0,-1,-0,-0,-0,-0
Cash from Investing Activity,-6,-5,-20,-13,-1,-3,64,8,1,-9,-17,-51
  └─ Fixed assets purchased,-11.77,-5.25,-21.21,-14.70,-2.84,-4.72,-7.83,-4.43,-9.66,-12.63,-17.42,-49.03
  └─ Fixed assets sold,0.06,0.00,0.00,0.00,0.00,0.01,0.20,0.03,10.80,0.06,3.58,0.40
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,82.64,0.00,0.00,0.00,0.00,0.24
  └─ Interest received,4.74,0.21,0.75,0.50,0.44,0.51,0.18,0.41,0.56,0.27,0.22,0.63
  └─ Other investing items,0.78,-0.29,0.83,1.14,1.02,1.12,-11.53,12.03,-1.11,3.46,-3.00,-3.41
Cash from Financing Activity,-71,-30,-28,-27,-33,-27,-108,-17,-29,-32,14,26
  └─ Proceeds from shares,2,0,0,0,0,0,0,0,50,0,95,0
  └─ Proceeds from borrowings,64,6,0,0,0,0,0,0,0,0,0,64
  └─ Repayment of borrowings,-93,-15,-17,-11,0,-15,-97,-10,-61,-12,-49,0
  └─ Interest paid fin,-44,-21,-23,0,-7,-11,-11,-7,-15,-17,-35,-35
  └─ Dividends paid,0,0,-0,0,-0,0,0,0,0,0,0,0
  └─ Financial liabilities,0,0,0,0,0,0,0,-0,-2,-3,-3,-3
  └─ Share application money,0,0,12,0,0,0,0,0,0,0,0,0
  └─ Other financing items,-0,0,0,-16,-26,0,0,0,0,0,6,0
Net Cash Flow,-9,5,-5,3,-2,-0,-0,7,13,-21,2,1
  └─ Free Cash Flow,56,35,22,29,30,25,36,12,42,7,-9,-23
  └─ CFO/OP,278%,188%,129%,234%,-49%,188%,188%,97%,113%,76%,6%,33%
