Metric,Mar 2026
Cash from Operating Activity,2.21
  └─ Profit from operations,9.35
  └─ Receivables,-2.82
  └─ Inventory,-1.06
  └─ Payables,2.87
  └─ Loans Advances,1.82
  └─ Other WC items,-6.18
  └─ Working capital changes,-5.37
  └─ Direct taxes,-1.77
Cash from Investing Activity,-0.43
  └─ Fixed assets purchased,-7.69
  └─ Capital WIP,-0.11
  └─ Investments purchased,-12.00
  └─ Investments sold,18.43
  └─ Interest received,0.09
  └─ Other investing items,0.85
Cash from Financing Activity,0.05
  └─ Other financing items,0.05
Net Cash Flow,1.83
  └─ Free Cash Flow,-5.59
  └─ CFO/OP,48%
