Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,2,3,20,-20,-33,12
  └─ Profit from operations,10,14,28,35,39,36
  └─ Receivables,-0,-8,-4,-41,-79,73
  └─ Inventory,1,1,-49,5,-46,-4
  └─ Payables,-6,-1,42,-13,49,-23
  └─ Loans Advances,0,-5,-10,-11,-15,-73
  └─ Operating borrowings,6,-10,12,2,2,27
  └─ Other WC items,-9,13,1,-0,22,-24
  └─ Working capital changes,-8,-10,-7,-58,-67,-23
  └─ Direct taxes,-0,-1,-0,3,-4,-1
  └─ Other operating items,0,0,0,0,-0,-0
Cash from Investing Activity,-1,1,-5,0,-2,-10
  └─ Fixed assets purchased,-4.98,-0.39,-5.51,-0.43,-2.70,-11.50
  └─ Fixed assets sold,3.81,0.00,0.18,0.00,0.00,0.04
  └─ Interest received,0.52,1.05,0.74,0.84,0.64,1.21
Cash from Financing Activity,-4,-1,23,29,25,-31
  └─ Proceeds from shares,0.00,0.00,0.00,32.45,0.00,0.00
  └─ Proceeds from borrowings,5.06,7.64,8.54,0.00,1.02,2.55
  └─ Repayment of borrowings,-0.68,0.00,0.00,-2.33,0.00,0.00
  └─ Interest paid fin,-6.61,-7.84,-6.28,-8.61,-8.32,-8.50
  └─ Other financing items,-1.54,-0.72,20.77,7.70,32.72,-24.89
Net Cash Flow,-3,3,39,10,-9,-29
  └─ Free Cash Flow,1,3,15,-20,-35,0
  └─ CFO/OP,19%,31%,65%,-59%,-65%,27%
