Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,81,40,29,49
  └─ Profit from operations,63.08,44.94,39.24,45.36
  └─ Receivables,3.22,2.36,-6.34,10.62
  └─ Inventory,14.59,-1.13,-1.16,-7.55
  └─ Loans Advances,11.37,0.00,0.00,-6.80
  └─ Other WC items,1.06,-1.51,-0.22,7.44
  └─ Working capital changes,30.24,-0.28,-7.72,3.72
  └─ Direct taxes,-12.74,-4.30,-2.20,0.00
Cash from Investing Activity,-64,-68,8,-62
  └─ Fixed assets purchased,-61,-77,-1,-52
  └─ Investments purchased,0,-1,0,-25
  └─ Investments sold,0,0,1,0
  └─ Interest received,2,1,4,14
  └─ Other investing items,-5,9,5,1
Cash from Financing Activity,-14,23,-38,12
  └─ Proceeds from borrowings,9.58,49.29,0.82,34.89
  └─ Repayment of borrowings,-17.91,-19.22,-30.94,-18.18
  └─ Interest paid fin,-4.56,-6.55,-6.78,-3.51
  └─ Dividends paid,-0.69,-0.69,-0.56,-0.56
  └─ Financial liabilities,-0.31,-0.25,-0.18,-0.20
Net Cash Flow,2,-5,0,-0
  └─ Free Cash Flow,19,-37,28,-3
  └─ CFO/OP,152%,99%,83%,96%
