Metric,Mar 2007,Mar 2008,Mar 2009
Cash from Operating Activity,4,7,-8
  └─ Profit from operations,23.90,24.39,22.21
  └─ Receivables,2.61,-4.90,0.78
  └─ Inventory,-17.39,-17.25,-4.73
  └─ Payables,9.07,9.78,-3.80
  └─ Loans Advances,-8.63,6.06,-8.85
  └─ Other WC items,0.00,-2.46,-0.33
  └─ Working capital changes,-14.34,-8.77,-16.93
  └─ Interest paid,-5.85,-9.05,-13.09
  └─ Exceptional CF items,0.00,0.25,0.00
Cash from Investing Activity,-32,-58,-24
  └─ Fixed assets purchased,-32.33,-58.23,-24.01
  └─ Fixed assets sold,0.00,0.00,0.18
Cash from Financing Activity,23,53,30
  └─ Proceeds from borrowings,34.85,66.04,42.92
  └─ Repayment of borrowings,-8.56,-11.14,-11.08
  └─ Dividends paid,-1.21,-1.20,-1.20
  └─ Other financing items,-1.64,-1.11,-0.64
Net Cash Flow,-5,1,-2
  └─ Free Cash Flow,-29,-51,-32
  └─ CFO/OP,19%,34%,-44%
