Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Cash from Operating Activity,,19,29,11,13,16,110
  └─ Profit from operations,,3,26,32,32,39,118
  └─ Receivables,,12,-10,-25,-12,-17,14
  └─ Inventory,,-3,-3,-33,8,-19,-39
  └─ Payables,,4,20,34,-9,16,26
  └─ Other WC items,,7,-3,2,-5,-7,-9
  └─ Working capital changes,,20,5,-21,-19,-27,-8
  └─ Direct taxes,,-3,-1,-0,0,4,-0
Cash from Investing Activity,,-13,-5,-6,-7,-27,-66
  └─ Fixed assets purchased,,-12,-7,-6,-7,-26,-63
  └─ Fixed assets sold,,0,0,0,0,0,0
  └─ Interest received,,0,0,0,0,0,0
  └─ Other investing items,,-1,2,-0,0,-1,-3
Cash from Financing Activity,,-6,-25,-5,22,-2,-29
  └─ Proceeds from shares,,0,0,0,0,0,92
  └─ Proceeds from borrowings,,12,0,12,44,40,25
  └─ Repayment of borrowings,,-6,-5,-6,-4,-24,-125
  └─ Interest paid fin,,-13,-12,-15,-19,-17,-20
  └─ Financial liabilities,,0,0,0,0,-1,-0
  └─ Other financing items,,0,-7,3,0,0,0
Net Cash Flow,,0,0,-0,28,-14,14
  └─ Free Cash Flow,,7,23,5,6,-10,47
  └─ CFO/OP,,-124%,644%,112%,44%,35%,97%
